기간,육지,제주,통합
2009-12-01,0,0,116.77
2010-01-01,122.28,160.33,122.58
2010-02-01,120.21,157.7,120.52
2010-03-01,120.55,159.52,120.88
2010-04-01,115.15,154.78,115.48
2010-05-01,115.33,155.82,115.66
2010-06-01,114.45,158.63,114.8
2010-07-01,114.11,162.13,114.51
2010-08-01,119.51,161.96,119.89
2010-09-01,116.04,160.9,116.42
2010-10-01,111.64,159.45,112.01
2010-11-01,105.36,152.59,105.74
2010-12-01,131.17,164.09,131.43
2011-01-01,131.95,173.2,132.3
2011-02-01,123.02,177.82,123.47
2011-03-01,123.25,177.01,123.7
2011-04-01,116.95,190.36,117.56
2011-05-01,117.02,211.07,117.78
2011-06-01,118.91,235.93,119.84
2011-07-01,118.56,227.65,119.5
2011-08-01,116.09,229.82,117.09
2011-09-01,132.75,226.55,133.51
2011-10-01,122.94,223.34,123.73
2011-11-01,139.94,228.61,140.63
2011-12-01,145.87,238.71,146.64
2012-01-01,147.01,248.52,147.88
2012-02-01,159.16,248.49,159.93
2012-03-01,176.86,254.55,177.53
2012-04-01,157.43,252.32,158.24
2012-05-01,170.58,264.28,171.35
2012-06-01,177.55,255.93,178.16
2012-07-01,184.64,243.87,185.14
2012-08-01,160.35,225.76,160.94
2012-09-01,133.21,230.1,134.01
2012-10-01,149.57,250.32,150.39
2012-11-01,138.1,255.22,139.04
2012-12-01,164.94,227.87,165.46
2013-01-01,151.59,214.19,152.14
2013-02-01,150.24,210.85,150.79
2013-03-01,151.61,211.3,152.13
2013-04-01,162.85,218.78,163.33
2013-05-01,150.48,217.65,151.04
2013-06-01,157.67,215.21,158.13
2013-07-01,154.75,215.14,155.29
2013-08-01,153.44,231.09,154.19
2013-09-01,136.22,210.87,136.88
2013-10-01,155.37,206.72,155.8
2013-11-01,144.52,208.15,145.05
2013-12-01,149.42,204.36,149.9
2014-01-01,142.61,201.94,143.16
2014-02-01,153.16,203.51,153.63
2014-03-01,162.99,207.52,163.4
2014-04-01,150.54,209.62,151.09
2014-05-01,144.14,198.72,144.61
2014-06-01,135.85,194.58,136.35
2014-07-01,142.26,195.39,142.72
2014-08-01,128,193.61,128.6
2014-09-01,130.92,189.65,131.44
2014-10-01,131.67,195.38,132.22
2014-11-01,133.27,191.63,133.78
2014-12-01,143.86,170.59,144.1
2015-01-01,140.54,163.75,140.76
2015-02-01,121.16,137.15,121.33
2015-03-01,118.35,117.99,118.35
2015-04-01,103.45,132.08,103.72
2015-05-01,96.31,130.94,96.62
2015-06-01,84.13,131.79,84.54
2015-07-01,81.53,133.6,81.99
2015-08-01,88.15,134.03,88.59
2015-09-01,90.73,118.4,90.98
2015-10-01,98.29,103.99,98.34
2015-11-01,94.89,99.28,94.93
2015-12-01,95.41,100.97,95.46
2016-01-01,90.7,97.79,90.77
2016-02-01,87.62,88.05,87.62
2016-03-01,87.34,84.26,87.31
2016-04-01,75.37,77.25,75.38
2016-05-01,68.72,75.53,68.78
2016-06-01,65.15,82.62,65.31
2016-07-01,66.79,93.81,67.06
2016-08-01,71.43,101.13,71.73
2016-09-01,71.3,97.3,71.55
2016-10-01,73.27,95.96,73.48
2016-11-01,74.83,98.21,75.04
2016-12-01,86.76,103.91,86.93
2017-01-01,86.1,106.06,86.31
2017-02-01,90.76,121.17,91.07
2017-03-01,91.67,129.71,92.06
2017-04-01,74.88,121.12,75.35
2017-05-01,78.76,117.92,79.14
2017-06-01,82.33,123.53,82.71
2017-07-01,76.3,123.87,76.79
2017-08-01,75.91,120.67,76.4
2017-09-01,72.82,111.87,73.21
2017-10-01,72.41,115.98,72.84
2017-11-01,81.15,116.55,81.48
2017-12-01,90.41,126.93,90.77
2018-01-01,91.8,133.46,92.23
2018-02-01,90.3,131.32,90.75
2018-03-01,101.15,131.77,101.47
2018-04-01,90.54,127.67,90.91
2018-05-01,87.22,129.14,87.64
2018-06-01,89.29,140.34,89.79
2018-07-01,86.58,153.18,87.27
2018-08-01,90.28,159.7,91.02
2018-09-01,92.14,161.67,92.87
2018-10-01,101.82,159.01,102.36
2018-11-01,104.59,160.08,105.11
2018-12-01,109.34,171.66,109.95
2019-01-01,110.78,157.61,111.28
2019-02-01,105.5,136.49,105.85
2019-03-01,112.1,141.73,112.42
2019-04-01,98.93,147.52,99.44
2019-05-01,78.99,144.86,79.65
2019-06-01,77.67,166.24,78.54
2019-07-01,78.9,163.53,79.76
2019-08-01,83.93,166.55,84.83
2019-09-01,78.73,167.84,79.64
2019-10-01,87.47,161.84,88.21
2019-11-01,81.13,153.13,81.83
2019-12-01,83.72,128.19,84.18
2020-01-01,84.26,109.48,84.54
2020-02-01,81.6,110.45,81.91
2020-03-01,83.05,110.28,83.35
2020-04-01,74.78,129.46,75.38
2020-05-01,70.45,113.38,70.91
2020-06-01,70.58,103.62,70.92
2020-07-01,70.96,97.68,71.25
2020-08-01,62.33,119.95,63.01
2020-09-01,55.43,104.13,55.94
2020-10-01,50.23,66.03,50.39
2020-11-01,49.65,65.48,49.8
2020-12-01,66.98,81.73,67.14
2021-01-01,70.47,87.75,70.65
2021-02-01,75.25,92.84,75.44
2021-03-01,83.78,124.79,84.22
2021-04-01,75.97,111,76.35
2021-05-01,78.93,95.39,79.1
2021-06-01,82.72,121.49,83.11
2021-07-01,87.04,133.68,87.54
2021-08-01,93.41,153.23,94.07
2021-09-01,98.21,149.31,98.77
2021-10-01,107.53,130.14,107.76
2021-11-01,126.83,149.77,127.06
2021-12-01,142.46,175.72,142.81
2022-01-01,153.82,206.86,154.42
2022-02-01,196.93,229.85,197.32
2022-03-01,192.34,229.05,192.75
2022-04-01,201.58,250.33,202.11
