날짜,일수,합계,전자상거래/통신판매,식료품,의류/잡화,연료,가구/가전,의료/보건,종합병원,일반병의원/기타의료기관,자동차,여행/교통,스포츠/오락/여가,서적/문구,교육,숙박,음식점,공과금/개인및전문서비스,금융/보험
2012/11,30,9999.01 ,972.22 ,159.28 ,485.78 ,1041.97 ,302.52 ,765.30 ,199.36 ,565.94 ,641.30 ,198.79 ,348.34 ,89.74 ,288.16 ,70.67 ,1039.92 ,840.19 ,353.96 
2012/12,31,10017.19 ,966.83 ,157.91 ,455.32 ,989.11 ,256.98 ,704.02 ,186.08 ,517.93 ,740.33 ,206.15 ,291.31 ,97.13 ,272.28 ,79.18 ,1127.60 ,837.02 ,339.67 
2013/01,31,9572.01 ,920.83 ,162.09 ,384.27 ,966.19 ,255.21 ,798.92 ,210.82 ,588.09 ,511.53 ,218.52 ,258.11 ,90.40 ,283.12 ,79.29 ,1027.48 ,983.82 ,336.19 
2013/02,28,9548.78 ,878.45 ,196.80 ,396.24 ,974.59 ,275.82 ,766.75 ,200.04 ,566.71 ,587.62 ,207.59 ,242.86 ,89.37 ,301.12 ,65.06 ,962.79 ,898.20 ,339.61 
2013/03,31,9536.78 ,861.43 ,154.04 ,423.44 ,979.06 ,316.49 ,753.37 ,196.59 ,556.78 ,649.40 ,196.10 ,297.24 ,118.75 ,290.21 ,61.23 ,1041.88 ,824.85 ,330.77 
2013/04,30,9892.18 ,930.40 ,159.49 ,433.29 ,984.27 ,300.28 ,748.43 ,200.91 ,547.53 ,674.40 ,214.89 ,315.86 ,97.57 ,258.33 ,63.78 ,1078.45 ,875.72 ,350.43 
2013/05,31,10013.76 ,927.47 ,172.58 ,483.79 ,948.52 ,339.69 ,747.19 ,198.99 ,548.20 ,677.70 ,229.31 ,348.63 ,84.59 ,271.18 ,67.42 ,1117.69 ,831.80 ,337.74 
2013/06,30,9619.79 ,883.77 ,163.97 ,423.34 ,941.78 ,345.31 ,727.41 ,194.15 ,533.26 ,578.62 ,218.78 ,314.93 ,80.45 ,268.31 ,63.98 ,1079.44 ,851.92 ,323.36 
2013/07,31,10189.60 ,983.91 ,157.60 ,385.53 ,966.26 ,372.40 ,748.40 ,206.91 ,541.49 ,610.79 ,256.35 ,290.91 ,90.34 ,287.32 ,75.75 ,1137.71 ,970.57 ,363.99 
2013/08,31,9638.99 ,851.71 ,170.09 ,328.18 ,1027.64 ,341.45 ,743.02 ,199.11 ,543.92 ,549.96 ,223.64 ,285.64 ,82.36 ,295.15 ,94.52 ,1157.17 ,825.39 ,326.26 
2013/09,30,9716.60 ,920.25 ,230.11 ,407.13 ,963.45 ,275.60 ,681.85 ,177.82 ,504.03 ,488.19 ,209.19 ,303.29 ,86.32 ,257.53 ,66.40 ,1049.12 ,840.20 ,340.67 
2013/10,31,9931.46 ,964.52 ,168.35 ,463.59 ,960.59 ,295.13 ,757.13 ,196.19 ,560.94 ,576.22 ,216.06 ,346.73 ,82.56 ,259.30 ,72.14 ,1093.05 ,873.99 ,360.77 
2013/11,30,10019.73 ,1023.28 ,169.51 ,489.28 ,989.85 ,337.58 ,749.39 ,197.67 ,551.72 ,561.32 ,212.60 ,349.79 ,86.52 ,267.42 ,68.39 ,1063.38 ,791.75 ,343.69 
2013/12,31,10232.20 ,1039.88 ,169.88 ,470.40 ,968.89 ,300.89 ,749.70 ,199.05 ,550.65 ,584.36 ,228.86 ,310.06 ,97.83 ,268.83 ,79.38 ,1197.46 ,793.80 ,359.21 
2014/01,31,9723.12 ,935.65 ,221.26 ,387.94 ,927.57 ,269.57 ,801.01 ,204.97 ,596.04 ,549.27 ,228.46 ,255.56 ,87.68 ,274.92 ,73.63 ,1044.46 ,940.54 ,329.54 
2014/02,28,9549.69 ,976.87 ,155.04 ,392.67 ,902.97 ,287.60 ,801.76 ,213.79 ,587.97 ,531.75 ,230.04 ,246.66 ,89.17 ,305.67 ,69.27 ,1020.25 ,847.64 ,364.76 
2014/03,31,9729.96 ,960.82 ,168.25 ,428.03 ,919.69 ,329.04 ,756.39 ,199.22 ,557.18 ,565.37 ,220.33 ,296.20 ,117.53 ,285.03 ,61.01 ,1110.97 ,772.31 ,354.01 
2014/04,30,9768.49 ,968.75 ,169.56 ,440.87 ,907.15 ,295.93 ,754.95 ,202.67 ,552.28 ,614.25 ,239.00 ,308.60 ,86.70 ,250.52 ,63.79 ,1091.12 ,832.26 ,359.68 
2014/05,31,9853.85 ,927.65 ,184.32 ,456.71 ,914.06 ,324.54 ,735.70 ,190.47 ,545.23 ,588.31 ,226.26 ,328.72 ,82.14 ,269.88 ,69.16 ,1165.21 ,768.11 ,340.57 
2014/06,30,9946.13 ,987.44 ,175.89 ,413.14 ,902.47 ,354.52 ,723.65 ,189.89 ,533.76 ,599.24 ,230.04 ,309.69 ,77.13 ,262.63 ,69.18 ,1166.34 ,801.28 ,352.69 
2014/07,31,10409.54 ,1027.25 ,172.30 ,389.89 ,920.26 ,369.82 ,796.66 ,211.81 ,584.85 ,681.18 ,290.64 ,291.42 ,88.98 ,299.25 ,74.18 ,1187.99 ,957.32 ,379.46 
2014/08,31,9935.43 ,945.74 ,197.78 ,345.82 ,936.90 ,320.81 ,782.53 ,199.08 ,583.45 ,580.93 ,265.34 ,294.91 ,82.91 ,307.38 ,93.59 ,1235.63 ,767.14 ,343.68 
2014/09,30,10084.54 ,1016.63 ,230.64 ,397.57 ,892.91 ,305.69 ,727.59 ,181.61 ,545.98 ,595.59 ,246.17 ,300.51 ,87.40 ,270.41 ,68.26 ,1112.67 ,857.34 ,366.29 
2014/10,31,10211.17 ,1045.56 ,188.57 ,458.75 ,885.93 ,305.18 ,775.38 ,193.35 ,582.03 ,641.27 ,254.24 ,332.00 ,81.60 ,258.84 ,71.68 ,1172.20 ,867.53 ,367.49 
2014/11,30,10251.89 ,1082.82 ,186.60 ,468.94 ,881.05 ,354.24 ,773.79 ,195.40 ,578.40 ,695.34 ,245.93 ,328.67 ,87.43 ,264.94 ,64.75 ,1144.74 ,783.67 ,347.80 
2014/12,31,10723.18 ,1189.33 ,184.91 ,453.95 ,848.14 ,312.95 ,765.86 ,200.47 ,565.39 ,816.56 ,269.81 ,293.18 ,96.63 ,279.43 ,81.00 ,1238.66 ,793.17 ,385.45 
2015/01,31,10002.68 ,1069.70 ,186.51 ,371.20 ,745.04 ,289.39 ,845.47 ,211.85 ,633.62 ,612.15 ,275.11 ,255.96 ,89.37 ,291.37 ,77.18 ,1163.17 ,980.24 ,357.04 
2015/02,28,9989.24 ,1065.16 ,252.46 ,383.43 ,730.74 ,301.66 ,788.90 ,197.30 ,591.59 ,594.61 ,253.59 ,242.03 ,87.41 ,302.49 ,69.30 ,1103.74 ,820.53 ,364.64 
2015/03,31,10194.19 ,1092.64 ,177.24 ,433.70 ,789.34 ,345.20 ,812.20 ,206.82 ,605.38 ,634.92 ,255.09 ,294.19 ,119.59 ,297.64 ,64.94 ,1169.01 ,788.30 ,391.77 
2015/04,30,10311.46 ,1104.89 ,186.91 ,444.14 ,752.13 ,304.52 ,821.35 ,211.02 ,610.33 ,678.13 ,287.91 ,310.87 ,91.12 ,260.02 ,65.13 ,1185.21 ,867.05 ,394.33 
2015/05,31,10447.07 ,1024.17 ,208.62 ,480.70 ,785.97 ,329.59 ,787.91 ,196.81 ,591.10 ,604.59 ,269.31 ,351.54 ,84.11 ,281.11 ,74.09 ,1302.86 ,819.22 ,364.93 
2015/06,30,10226.72 ,1148.88 ,194.66 ,402.52 ,756.25 ,343.45 ,709.37 ,160.46 ,548.91 ,620.27 ,245.49 ,298.59 ,79.07 ,268.24 ,61.85 ,1176.44 ,887.11 ,405.67 
2015/07,31,10846.61 ,1159.66 ,187.39 ,389.77 ,777.74 ,412.91 ,800.55 ,189.66 ,610.89 ,668.95 ,309.55 ,300.06 ,91.08 ,304.97 ,71.51 ,1258.10 ,1046.39 ,412.31 
2015/08,31,10433.94 ,1055.24 ,198.77 ,350.39 ,800.67 ,395.02 ,806.54 ,201.78 ,604.77 ,589.13 ,270.51 ,304.87 ,83.79 ,312.67 ,94.69 ,1337.17 ,817.69 ,371.26 
2015/09,30,10717.49 ,1113.89 ,274.85 ,403.79 ,761.43 ,342.60 ,798.64 ,196.86 ,601.78 ,702.18 ,275.01 ,299.53 ,88.00 ,272.76 ,65.37 ,1190.28 ,929.87 ,383.13 
2015/10,31,10941.57 ,1209.73 ,189.08 ,458.51 ,742.36 ,376.81 ,858.85 ,203.61 ,655.23 ,726.67 ,284.61 ,347.61 ,83.30 ,285.63 ,74.28 ,1212.81 ,989.90 ,421.00 
2015/11,30,10925.00 ,1258.40 ,192.00 ,465.54 ,748.35 ,399.27 ,821.10 ,201.22 ,619.88 ,710.95 ,276.03 ,328.85 ,80.82 ,271.34 ,70.12 ,1237.67 ,875.06 ,405.33 
2015/12,31,11325.65 ,1282.97 ,196.96 ,448.25 ,746.52 ,365.87 ,875.82 ,216.18 ,659.64 ,882.73 ,301.67 ,295.53 ,100.20 ,297.11 ,81.09 ,1323.16 ,930.82 ,432.72 
2016/01,31,10713.19 ,1256.19 ,205.92 ,378.93 ,716.11 ,335.16 ,910.92 ,217.70 ,693.22 ,569.31 ,296.93 ,250.37 ,89.04 ,308.84 ,78.13 ,1234.01 ,1088.58 ,395.58 
2016/02,29,10523.04 ,1224.51 ,239.85 ,369.09 ,689.62 ,356.20 ,857.85 ,208.01 ,649.83 ,601.42 ,280.83 ,246.08 ,87.97 ,315.87 ,67.92 ,1166.86 ,875.81 ,400.78 
2016/03,31,11000.11 ,1314.47 ,183.80 ,418.27 ,693.92 ,387.57 ,903.62 ,223.80 ,679.81 ,769.75 ,284.01 ,297.36 ,119.80 ,316.59 ,64.45 ,1227.36 ,915.16 ,445.54 
2016/04,30,11117.55 ,1290.89 ,194.15 ,445.70 ,690.70 ,359.12 ,891.85 ,217.13 ,674.71 ,752.23 ,300.26 ,326.44 ,88.59 ,280.46 ,65.56 ,1274.48 ,992.57 ,420.65 
2016/05,31,11410.66 ,1373.20 ,204.48 ,466.50 ,717.76 ,352.04 ,839.59 ,208.23 ,631.36 ,730.65 ,303.29 ,353.04 ,83.10 ,292.83 ,73.32 ,1379.05 ,991.89 ,423.48 
2016/06,30,11539.18 ,1395.42 ,195.23 ,434.34 ,744.88 ,363.95 ,874.12 ,216.18 ,657.94 ,842.96 ,323.96 ,324.16 ,82.98 ,299.79 ,72.68 ,1338.05 ,1053.58 ,441.46 
2016/07,31,11755.54 ,1446.67 ,186.57 ,393.06 ,754.29 ,427.37 ,897.83 ,219.30 ,678.54 ,709.70 ,334.29 ,305.95 ,91.97 ,324.45 ,74.62 ,1368.82 ,1254.77 ,436.63 
2016/08,31,11502.65 ,1423.55 ,191.83 ,344.98 ,770.41 ,414.66 ,866.70 ,216.21 ,650.49 ,591.21 ,314.46 ,310.56 ,84.13 ,331.65 ,104.33 ,1432.45 ,1040.08 ,430.86 
