일시,일 미세먼지 농도(㎍/㎥)
2009-12-01,92
2009-12-02,124
2009-12-03,70
2009-12-04,68
2009-12-05,31
2009-12-06,17
2009-12-07,46
2009-12-08,68
2009-12-09,48
2009-12-10,20
2009-12-11,20
2009-12-12,40
2009-12-13,53
2009-12-14,25
2009-12-15,33
2009-12-16,38
2009-12-17,37
2009-12-18,36
2009-12-19,56
2009-12-20,76
2009-12-21,49
2009-12-22,54
2009-12-23,81
2009-12-24,101
2009-12-25,300
2009-12-26,182
2009-12-27,79
2009-12-28,56
2009-12-29,47
2009-12-30,116
2009-12-31,39
2010-01-01,32
2010-01-02,48
2010-01-03,47
2010-01-04,38
2010-01-05,49
2010-01-06,36
2010-01-07,57
2010-01-08,74
2010-01-09,72
2010-01-10,59
2010-01-11,71
2010-01-12,35
2010-01-13,36
2010-01-14,44
2010-01-15,51
2010-01-16,53
2010-01-17,48
2010-01-18,72
2010-01-19,84
2010-01-20,48
2010-01-21,41
2010-01-22,40
2010-01-23,48
2010-01-24,56
2010-01-25,132
2010-01-26,56
2010-01-27,46
2010-01-28,52
2010-01-29,45
2010-01-30,76
2010-01-31,96
2010-02-01,103
2010-02-02,26
2010-02-03,40
2010-02-04,47
2010-02-05,35
2010-02-06,48
2010-02-07,43
2010-02-08,43
2010-02-09,46
2010-02-10,30
2010-02-11,9
2010-02-12,18
2010-02-13,32
2010-02-14,33
2010-02-15,57
2010-02-16,42
2010-02-17,51
2010-02-18,61
2010-02-19,55
2010-02-20,73
2010-02-21,58
2010-02-22,61
2010-02-23,77
2010-02-24,70
2010-02-25,33
2010-02-26,32
2010-02-27,36
2010-02-28,55
2010-03-02,31
2010-03-03,86
2010-03-04,32
2010-03-05,39
2010-03-06,60
2010-03-07,13
2010-03-08,13
2010-03-09,19
2010-03-10,27
2010-03-11,44
2010-03-12,75
2010-03-13,121
2010-03-14,91
2010-03-15,109
2010-03-16,230
2010-03-17,46
2010-03-18,40
2010-03-19,45
2010-03-20,102
2010-03-21,43
2010-03-22,44
2010-03-23,48
2010-03-24,72
2010-03-25,51
2010-03-26,48
2010-03-27,87
2010-03-28,52
2010-03-29,55
2010-03-30,55
2010-03-31,29
2010-04-01,60
2010-04-02,93
2010-04-03,70
2010-04-04,49
2010-04-05,40
2010-04-06,44
2010-04-07,37
2010-04-08,56
2010-04-09,45
2010-04-10,50
2010-04-11,26
2010-04-12,30
2010-04-13,32
2010-04-14,35
2010-04-15,44
2010-04-16,71
2010-04-17,48
2010-04-18,56
2010-04-19,52
2010-04-20,51
2010-04-21,31
2010-04-22,12
2010-04-23,22
2010-04-24,53
2010-04-25,61
2010-04-26,42
2010-04-27,35
2010-04-28,36
2010-04-29,58
2010-04-30,46
2010-05-01,38
2010-05-02,61
2010-05-03,87
2010-05-04,81
2010-05-05,72
2010-05-06,31
2010-05-07,39
2010-05-08,61
2010-05-09,73
2010-05-10,82
2010-05-11,58
2010-05-12,52
2010-05-13,60
2010-05-14,36
2010-05-15,49
2010-05-16,40
2010-05-17,53
2010-05-18,16
2010-05-19,74
2010-05-20,138
2010-05-21,143
2010-05-22,95
2010-05-23,10
2010-05-24,18
2010-05-25,46
2010-05-26,19
2010-05-27,20
2010-05-28,40
2010-05-29,38
2010-05-30,27
2010-05-31,25
2010-06-01,28
2010-06-02,42
2010-06-03,42
2010-06-04,38
2010-06-05,41
2010-06-06,39
2010-06-07,33
2010-06-08,30
2010-06-09,51
2010-06-10,77
2010-06-11,49
2010-06-12,22
2010-06-13,22
2010-06-14,27
2010-06-15,23
2010-06-16,45
2010-06-17,145
2010-06-18,118
2010-06-19,73
2010-06-20,41
2010-06-21,54
2010-06-22,51
2010-06-23,40
2010-06-24,51
2010-06-25,66
2010-06-26,32
2010-06-27,21
2010-06-29,54
2010-06-30,42
2010-07-01,57
2010-07-02,46
2010-07-03,34
2010-07-04,20
2010-07-07,57
2010-07-08,39
2010-07-09,34
2010-07-10,39
2010-07-11,25
2010-07-12,23
2010-07-13,23
2010-07-14,32
2010-07-15,51
2010-07-16,29
2010-07-18,12
2010-07-19,19
2010-07-20,22
2010-07-21,21
2010-07-22,16
2010-07-24,46
2010-07-25,18
2010-07-26,14
2010-07-27,19
2010-07-28,18
2010-07-29,22
2010-07-30,34
2010-07-31,45
2010-08-01,46
2010-08-02,35
2010-08-03,35
2010-08-04,60
2010-08-05,39
2010-08-06,16
2010-08-08,25
2010-08-09,29
2010-08-11,13
2010-08-12,38
2010-08-16,62
2010-08-17,51
2010-08-18,30
2010-08-19,24
2010-08-20,31
2010-08-21,32
2010-08-22,27
2010-08-26,14
2010-08-27,22
2010-08-30,21
2010-08-31,38
2010-09-01,17
2010-09-02,13
2010-09-03,21
2010-09-04,25
2010-09-05,26
2010-09-06,13
2010-09-07,18
2010-09-08,22
2010-09-09,24
2010-09-12,19
2010-09-13,53
2010-09-14,54
2010-09-15,33
2010-09-16,36
2010-09-17,46
2010-09-18,37
2010-09-19,32
2010-09-20,23
2010-09-23,14
2010-09-24,22
2010-09-25,19
2010-09-26,21
2010-09-27,23
2010-09-28,36
2010-09-29,32
2010-10-01,37
2010-10-02,26
2010-10-03,19
2010-10-04,18
2010-10-05,27
2010-10-06,38
2010-10-07,46
2010-10-08,28
2010-10-09,17
2010-10-10,41
2010-10-11,65
2010-10-12,46
2010-10-13,45
2010-10-14,38
2010-10-19,67
2010-10-20,83
2010-10-21,43
2010-10-22,23
2010-10-23,30
2010-10-24,38
2010-10-26,31
2010-10-27,27
2010-10-28,39
2010-10-29,44
2010-10-30,38
2010-10-31,29
2010-11-01,51
2010-11-02,42
2010-11-03,38
2010-11-04,78
2010-11-05,135
2010-11-06,191
2010-11-07,167
2010-11-08,17
2010-11-09,19
2010-11-10,25
2010-11-11,199
2010-11-12,51
2010-11-13,90
2010-11-14,37
2010-11-15,25
2010-11-16,29
2010-11-17,56
2010-11-18,60
2010-11-19,72
2010-11-20,67
2010-11-21,80
2010-11-22,36
2010-11-23,34
2010-11-24,49
2010-11-25,64
2010-11-26,35
2010-11-27,80
2010-11-28,70
2010-11-29,45
2010-11-30,119
2010-12-01,172
2010-12-02,109
2010-12-03,89
2010-12-04,41
2010-12-05,52
2010-12-06,59
2010-12-07,35
2010-12-08,38
2010-12-09,39
2010-12-10,75
2010-12-11,68
2010-12-12,22
2010-12-13,35
2010-12-14,34
2010-12-15,43
2010-12-16,42
2010-12-17,72
2010-12-18,93
2010-12-19,81
2010-12-20,145
2010-12-21,111
2010-12-22,67
2010-12-23,72
2010-12-24,49
2010-12-25,37
2010-12-26,51
2010-12-27,53
2010-12-28,56
2010-12-31,41
2011-01-01,56
2011-01-02,61
2011-01-03,64
2011-01-04,55
2011-01-05,42
2011-01-06,37
2011-01-07,39
2011-01-08,55
2011-01-09,43
2011-01-10,38
2011-01-11,55
2011-01-12,38
2011-01-13,43
2011-01-14,57
2011-01-15,46
2011-01-16,32
2011-01-17,31
2011-01-18,38
2011-01-19,40
2011-01-20,45
2011-01-21,41
2011-01-22,39
2011-01-23,49
2011-01-24,49
2011-01-25,44
2011-01-26,39
2011-01-27,38
2011-01-28,42
2011-01-29,34
2011-01-30,38
2011-01-31,40
2011-02-01,66
2011-02-02,103
2011-02-03,132
2011-02-04,152
2011-02-05,147
2011-02-06,147
2011-02-07,123
2011-02-08,62
2011-02-09,50
2011-02-10,54
2011-02-11,60
2011-02-12,48
2011-02-13,49
2011-02-14,57
2011-02-15,66
2011-02-16,59
2011-02-17,68
2011-02-18,89
2011-02-19,83
2011-02-20,55
2011-02-21,40
2011-02-22,63
2011-02-23,79
2011-02-24,49
2011-02-25,48
2011-02-26,42
2011-02-28,10
2011-03-01,30
2011-03-02,28
2011-03-03,30
2011-03-04,42
2011-03-05,45
2011-03-06,55
