시점,총지수
2009.12,91.5
2010.01,82.8
2010.02,81.4
2010.03,85.8
2010.04,84.2
2010.05,87.8
2010.06,86.1
2010.07,87.3
2010.08,83.9
2010.09,89.6
2010.1,90.7
2010.11,91.8
2010.12,95.1
2011.01,91.8
2011.02,80.8
2011.03,90.6
2011.04,89.5
2011.05,93.6
2011.06,91.4
2011.07,91
2011.08,88.1
2011.09,92.5
2011.1,93.7
2011.11,93.6
2011.12,97.7
2012.01,93.8
2012.02,85.4
2012.03,91.7
2012.04,89.9
2012.05,96.2
2012.06,92.7
2012.07,94.5
2012.08,89.4
2012.09,95.3
2012.1,95.2
2012.11,97.5
2012.12,99.8
2013.01,91.2
2013.02,86.8
2013.03,93.6
2013.04,91.9
2013.05,96.7
2013.06,93.2
2013.07,95.3
2013.08,91.1
2013.09,94
2013.1,97.1
2013.11,98.7
2013.12,99.9
2014.01,96.4
2014.02,86.7
2014.03,95.7
2014.04,92.5
2014.05,98.1
2014.06,94.5
2014.07,96.4
2014.08,94
2014.09,95.7
2014.1,97.4
2014.11,100
2014.12,105.2
2015.01,94.2
2015.02,92.9
2015.03,99.2
2015.04,98.7
2015.05,102.6
2015.06,95
2015.07,97.9
2015.08,95.6
2015.09,102.2
2015.1,106.3
2015.11,106.3
2015.12,109
2016.01,99.6
2016.02,95.6
2016.03,104.5
2016.04,102.1
2016.05,107.3
2016.06,103.4
2016.07,102.1
2016.08,100.8
2016.09,102.2
2016.1,108.4
2016.11,109.1
2016.12,111.2
2017.01,103.3
2017.02,95.2
2017.03,105.4
2017.04,103.9
2017.05,107.6
2017.06,104.2
2017.07,104.9
2017.08,101.3
2017.09,109.5
2017.1,108
2017.11,115
2017.12,112.9
2018.01,105.3
2018.02,101.7
2018.03,113.3
2018.04,109.9
2018.05,112.8
2018.06,108.7
2018.07,110.8
2018.08,107
2018.09,110
2018.1,113.6
2018.11,116.2
2018.12,116.4
2019.01,109.8
2019.02,99.8
2019.03,116
2019.04,111.4
2019.05,116.6
2019.06,110
2019.07,110.5
2019.08,111.5
2019.09,113.3
2019.1,115.7
2019.11,120.4
2019.12,121.6
2020.01,111.8
2020.02,97.8
2020.03,106.9
2020.04,108.9
2020.05,118.4
2020.06,116.9
2020.07,110.9
2020.08,111.7
2020.09,118
2020.1,115.8
2020.11,119
2020.12,119.1
2021.01,112.2
2021.02,106.2
2021.03,119.5
2021.04,118.9
2021.05,122.8
2021.06,119.5
2021.07,120.2
2021.08,116.5
2021.09,122.7
2021.1,125
2021.11,124.7
2021.12,127.2
2022.01,117.5
2022.02,107.9
2022.03,122
2022.04,119.4
