날짜,불변_총지수,불변_총지수(승용차제외),불변_내구재,불변_준내구재,불변_비내구재,계절_총지수,계절_총지수(승용차제외),계절_내구재,계절_준내구재,계절_비내구재,불변_인터넷쇼핑,불변_홈쇼핑,불변_방문및배달소매점
2012-11,97.5 ,100.6 ,91.2 ,114.3 ,94.1 ,94.6 ,97.3 ,87.3 ,100.1 ,95.5 ,79.3 ,103.4 ,104.1 
2012-12,99.8 ,102.8 ,93.3 ,116.8 ,96.6 ,95.0 ,97.4 ,89.4 ,100.8 ,95.1 ,81.2 ,105.7 ,100.2 
2013-01,91.2 ,94.8 ,83.3 ,98.9 ,92.6 ,94.4 ,97.4 ,84.9 ,102.8 ,95.2 ,75.8 ,100.5 ,111.3 
2013-02,86.8 ,90.7 ,78.5 ,89.7 ,90.4 ,94.4 ,97.1 ,86.7 ,102.2 ,94.6 ,65.9 ,83.6 ,102.5 
2013-03,93.6 ,96.9 ,85.1 ,106.0 ,93.4 ,93.9 ,96.8 ,83.6 ,104.2 ,94.2 ,74.3 ,95.2 ,108.6 
2013-04,91.9 ,94.7 ,85.4 ,102.5 ,91.3 ,93.9 ,96.8 ,86.1 ,101.0 ,94.4 ,74.0 ,96.4 ,112.7 
2013-05,96.7 ,100.2 ,88.8 ,109.4 ,96.1 ,94.6 ,97.4 ,87.0 ,102.9 ,94.5 ,76.1 ,100.6 ,119.0 
2013-06,93.2 ,96.4 ,89.1 ,97.3 ,93.8 ,95.0 ,98.1 ,87.0 ,102.3 ,95.5 ,73.2 ,98.1 ,111.6 
2013-07,95.3 ,97.4 ,94.5 ,94.3 ,96.2 ,95.9 ,98.4 ,87.8 ,103.8 ,96.1 ,78.7 ,98.3 ,116.5 
2013-08,91.1 ,94.1 ,86.2 ,83.2 ,97.4 ,94.9 ,97.1 ,86.8 ,100.1 ,96.4 ,69.8 ,90.4 ,111.7 
2013-09,94.0 ,98.2 ,79.2 ,96.2 ,101.6 ,94.4 ,97.4 ,85.1 ,100.5 ,95.9 ,69.6 ,89.2 ,113.6 
2013-10,97.1 ,100.2 ,89.3 ,109.4 ,96.4 ,95.0 ,98.0 ,86.5 ,99.5 ,97.1 ,78.3 ,107.4 ,123.3 
2013-11,98.7 ,102.6 ,89.1 ,118.9 ,95.9 ,95.5 ,98.5 ,85.9 ,102.6 ,96.8 ,82.9 ,110.5 ,103.4 
2013-12,99.9 ,103.8 ,88.9 ,117.3 ,99.1 ,95.3 ,98.6 ,84.9 ,102.1 ,97.2 ,87.1 ,107.4 ,103.1 
2014-01,96.4 ,99.8 ,86.2 ,96.6 ,102.3 ,98.5 ,100.5 ,91.6 ,101.1 ,100.5 ,77.2 ,103.5 ,107.6 
2014-02,86.7 ,88.8 ,86.7 ,88.2 ,86.1 ,95.6 ,97.3 ,92.5 ,101.1 ,94.5 ,74.9 ,92.4 ,103.6 
2014-03,95.7 ,98.0 ,87.9 ,103.6 ,96.7 ,95.8 ,98.0 ,86.5 ,101.3 ,97.7 ,85.2 ,99.4 ,109.9 
2014-04,92.5 ,93.5 ,84.8 ,101.5 ,93.3 ,94.7 ,96.3 ,86.0 ,99.8 ,96.4 ,82.9 ,96.3 ,109.4 
2014-05,98.1 ,100.8 ,90.1 ,107.1 ,99.0 ,96.1 ,98.1 ,89.4 ,99.9 ,97.5 ,80.6 ,100.6 ,109.3 
2014-06,94.5 ,96.0 ,94.3 ,93.0 ,95.3 ,96.7 ,98.6 ,92.0 ,99.4 ,97.7 ,80.5 ,98.4 ,106.8 
2014-07,96.4 ,97.3 ,97.2 ,91.8 ,97.9 ,97.1 ,98.6 ,91.5 ,101.4 ,97.8 ,88.6 ,98.5 ,113.2 
2014-08,94.0 ,96.4 ,87.7 ,87.8 ,100.2 ,98.0 ,99.6 ,89.9 ,104.1 ,99.1 ,82.7 ,92.7 ,103.9 
2014-09,95.7 ,97.7 ,89.2 ,97.3 ,98.7 ,95.9 ,97.1 ,95.4 ,102.2 ,93.3 ,80.8 ,94.4 ,111.3 
2014-10,97.4 ,99.3 ,88.1 ,111.2 ,97.1 ,95.6 ,97.7 ,86.1 ,100.4 ,97.9 ,90.9 ,108.6 ,104.8 
2014-11,100.0 ,102.0 ,95.4 ,115.8 ,96.2 ,96.4 ,97.6 ,93.1 ,98.6 ,97.0 ,99.4 ,107.1 ,96.3 
2014-12,105.2 ,106.1 ,102.3 ,120.3 ,100.5 ,100.0 ,101.4 ,96.3 ,105.9 ,99.1 ,108.9 ,115.8 ,94.3 
2015-01,94.2 ,94.8 ,94.2 ,94.3 ,94.1 ,97.4 ,97.6 ,98.7 ,99.0 ,96.1 ,93.4 ,104.0 ,103.0 
2015-02,92.9 ,94.8 ,86.2 ,88.5 ,98.0 ,100.7 ,101.5 ,97.6 ,101.4 ,101.8 ,83.2 ,90.9 ,95.0 
2015-03,99.2 ,99.4 ,99.3 ,100.8 ,98.5 ,98.5 ,99.2 ,96.2 ,99.2 ,99.3 ,98.6 ,101.5 ,103.5 
2015-04,98.7 ,98.9 ,95.5 ,103.5 ,98.1 ,99.7 ,100.6 ,95.4 ,101.6 ,100.8 ,95.3 ,97.3 ,102.5 
2015-05,102.6 ,103.8 ,96.5 ,109.7 ,102.4 ,99.8 ,100.4 ,96.7 ,101.6 ,100.5 ,93.0 ,93.7 ,99.4 
2015-06,95.0 ,93.6 ,100.7 ,84.5 ,97.0 ,96.8 ,96.5 ,97.3 ,91.3 ,98.9 ,103.1 ,97.3 ,106.0 
2015-07,97.9 ,97.4 ,103.3 ,87.5 ,100.0 ,98.4 ,98.7 ,97.4 ,97.4 ,99.4 ,105.6 ,93.8 ,101.9 
2015-08,95.6 ,96.3 ,95.6 ,84.2 ,100.6 ,99.1 ,99.1 ,97.7 ,100.0 ,99.3 ,91.2 ,91.4 ,93.2 
2015-09,102.2 ,102.5 ,96.2 ,94.2 ,108.6 ,100.6 ,100.6 ,100.2 ,99.0 ,101.5 ,94.7 ,95.2 ,105.0 
2015-10,106.3 ,106.4 ,106.6 ,117.6 ,101.1 ,103.2 ,102.8 ,106.6 ,104.1 ,101.3 ,107.3 ,114.7 ,98.8 
2015-11,106.3 ,106.1 ,108.9 ,119.8 ,99.2 ,101.7 ,101.2 ,105.1 ,101.8 ,100.1 ,114.7 ,112.8 ,95.3 
2015-12,109.0 ,106.0 ,117.1 ,115.3 ,102.4 ,103.2 ,101.2 ,109.9 ,101.7 ,100.7 ,119.9 ,107.5 ,96.6 
2016-01,99.6 ,101.6 ,92.9 ,97.3 ,103.7 ,103.2 ,104.4 ,99.1 ,102.0 ,105.6 ,116.9 ,108.9 ,100.0 
2016-02,95.6 ,96.8 ,92.8 ,89.3 ,99.7 ,101.4 ,101.9 ,102.4 ,100.5 ,101.4 ,105.3 ,96.2 ,92.1 
2016-03,104.5 ,102.8 ,112.5 ,102.6 ,101.6 ,103.6 ,103.0 ,107.3 ,101.4 ,102.8 ,121.7 ,108.9 ,100.0 
2016-04,102.1 ,101.5 ,103.3 ,104.9 ,100.3 ,103.1 ,103.0 ,104.0 ,102.2 ,103.1 ,114.1 ,104.2 ,98.8 
2016-05,107.3 ,106.8 ,108.4 ,110.5 ,105.4 ,104.5 ,103.7 ,107.1 ,103.6 ,103.6 ,118.5 ,111.2 ,99.3 
2016-06,103.4 ,100.4 ,114.7 ,94.8 ,101.9 ,105.3 ,103.7 ,110.5 ,102.5 ,104.1 ,117.4 ,105.3 ,97.0 
2016-07,102.1 ,103.5 ,103.5 ,94.1 ,105.0 ,102.6 ,104.0 ,99.2 ,102.7 ,104.1 ,124.1 ,98.9 ,86.9 
2016-08,100.8 ,102.8 ,100.9 ,85.1 ,107.7 ,104.1 ,106.1 ,99.8 ,102.5 ,106.9 ,119.6 ,109.2 ,98.0 
2016-09,102.2 ,103.8 ,93.2 ,95.4 ,109.4 ,101.4 ,102.1 ,99.7 ,99.6 ,102.9 ,115.4 ,107.6 ,96.2 
2016-10,108.4 ,109.1 ,107.3 ,118.2 ,104.6 ,104.7 ,105.2 ,106.3 ,103.2 ,104.7 ,129.9 ,121.7 ,87.7 
2016-11,109.1 ,109.0 ,110.6 ,119.9 ,103.7 ,104.4 ,104.4 ,105.8 ,102.5 ,104.5 ,146.4 ,121.8 ,88.9 
2016-12,111.2 ,109.7 ,115.6 ,115.0 ,107.5 ,105.6 ,104.6 ,110.5 ,101.0 ,105.3 ,140.3 ,118.9 ,89.0 
2017-01,103.3 ,105.3 ,94.6 ,96.3 ,110.4 ,104.2 ,104.6 ,104.7 ,102.5 ,104.7 ,130.4 ,114.7 ,98.0 
2017-02,95.2 ,95.5 ,100.0 ,88.4 ,96.1 ,106.0 ,106.2 ,108.2 ,102.4 ,106.5 ,131.1 ,105.1 ,85.8 
2017-03,105.4 ,104.1 ,113.8 ,99.3 ,104.2 ,104.4 ,104.2 ,108.5 ,97.6 ,105.4 ,144.0 ,115.4 ,94.1 
2017-04,103.9 ,104.0 ,108.5 ,105.5 ,101.1 ,105.0 ,105.1 ,110.4 ,102.1 ,103.7 ,138.3 ,108.8 ,94.8 
2017-05,107.6 ,107.8 ,114.1 ,104.9 ,105.8 ,105.1 ,105.4 ,110.7 ,99.3 ,105.1 ,143.2 ,119.0 ,96.1 
2017-06,104.2 ,102.6 ,115.7 ,92.7 ,103.9 ,105.9 ,105.7 ,111.7 ,99.5 ,106.1 ,138.6 ,111.2 ,96.0 
2017-07,104.9 ,105.5 ,114.9 ,91.6 ,106.1 ,105.0 ,105.5 ,109.9 ,99.8 ,105.0 ,146.2 ,109.5 ,88.3 
2017-08,101.3 ,101.8 ,107.1 ,83.4 ,106.5 ,104.7 ,105.0 ,106.3 ,100.7 ,105.7 ,138.3 ,109.0 ,86.6 
2017-09,109.5 ,109.6 ,111.4 ,97.5 ,114.0 ,107.4 ,107.6 ,112.8 ,101.2 ,107.7 ,150.9 ,118.3 ,102.6 
2017-10,108.0 ,110.0 ,104.0 ,113.7 ,107.3 ,106.1 ,106.8 ,109.7 ,99.0 ,107.5 ,140.8 ,121.6 ,85.1 
2017-11,115.0 ,114.8 ,122.8 ,124.6 ,107.2 ,110.1 ,110.1 ,117.8 ,106.6 ,108.1 ,178.9 ,135.9 ,93.6 
2017-12,112.9 ,113.5 ,114.8 ,117.0 ,110.2 ,107.8 ,108.5 ,111.8 ,102.8 ,108.1 ,168.2 ,127.0 ,87.0 
2018-01,105.3 ,105.5 ,110.5 ,94.3 ,107.7 ,109.3 ,109.4 ,114.7 ,102.7 ,109.7 ,162.9 ,135.2 ,97.7 
2018-02,101.7 ,102.8 ,102.0 ,91.6 ,106.0 ,110.6 ,110.3 ,116.8 ,106.5 ,109.6 ,147.8 ,117.9 ,84.3 
2018-03,113.3 ,111.8 ,125.0 ,111.2 ,108.7 ,111.8 ,111.2 ,120.4 ,107.5 ,109.6 ,173.5 ,128.5 ,90.2 
2018-04,109.9 ,108.5 ,120.2 ,107.5 ,106.1 ,110.9 ,110.2 ,120.4 ,105.2 ,108.9 ,167.1 ,125.4 ,91.0 
2018-05,112.8 ,112.2 ,121.1 ,111.8 ,109.5 ,109.9 ,109.5 ,116.5 ,105.4 ,108.8 ,172.1 ,131.6 ,91.7 
2018-06,108.7 ,107.6 ,118.4 ,100.8 ,107.6 ,110.5 ,110.4 ,115.4 ,106.2 ,110.1 ,163.0 ,123.8 ,85.3 
2018-07,110.8 ,110.4 ,122.3 ,98.5 ,110.9 ,110.9 ,110.7 ,115.7 ,107.6 ,110.2 ,178.9 ,119.9 ,85.9 
2018-08,107.0 ,106.9 ,117.9 ,88.7 ,110.1 ,110.6 ,110.3 ,117.1 ,107.1 ,109.2 ,162.2 ,117.8 ,82.1 
2018-09,110.0 ,112.2 ,101.2 ,107.0 ,115.4 ,108.8 ,109.6 ,110.2 ,109.4 ,107.9 ,166.3 ,118.0 ,89.2 
2018-10,113.6 ,113.3 ,116.4 ,123.5 ,107.9 ,110.2 ,110.1 ,115.2 ,108.4 ,108.7 ,189.2 ,140.1 ,84.8 
2018-11,116.2 ,115.7 ,122.9 ,126.3 ,108.6 ,111.4 ,111.1 ,118.2 ,108.6 ,109.4 ,208.2 ,135.3 ,79.8 
2018-12,116.4 ,116.2 ,119.2 ,123.7 ,111.9 ,111.6 ,111.5 ,116.2 ,110.2 ,110.0 ,203.1 ,136.2 ,72.7 
2019-01,109.8 ,111.0 ,108.8 ,99.6 ,114.8 ,114.6 ,115.3 ,114.5 ,109.8 ,116.7 ,201.7 ,139.4 ,91.8 
2019-02,99.8 ,101.2 ,100.2 ,93.7 ,102.3 ,108.7 ,109.1 ,113.1 ,109.6 ,106.2 ,175.8 ,113.3 ,73.4 
2019-03,116.0 ,115.9 ,125.3 ,114.2 ,112.5 ,114.3 ,114.7 ,121.7 ,108.7 ,113.3 ,210.7 ,134.0 ,83.6 
2019-04,111.4 ,110.5 ,118.9 ,108.4 ,109.3 ,112.3 ,112.4 ,117.4 ,106.9 ,112.3 ,200.1 ,130.1 ,88.3 
2019-05,116.6 ,116.8 ,122.5 ,118.0 ,113.2 ,113.1 ,113.6 ,117.3 ,110.4 ,112.4 ,213.4 ,133.8 ,88.9 
2019-06,110.0 ,110.0 ,116.2 ,104.4 ,109.6 ,111.5 ,112.2 ,114.7 ,107.6 ,111.8 ,195.8 ,123.4 ,80.2 
2019-07,110.5 ,110.1 ,118.2 ,98.2 ,112.3 ,110.9 ,111.1 ,112.1 ,107.8 ,111.8 ,205.2 ,124.7 ,84.4 
2019-08,111.5 ,111.8 ,118.6 ,91.5 ,116.9 ,115.1 ,114.8 ,119.5 ,109.6 ,115.5 ,200.9 ,120.3 ,81.3 
2019-09,113.3 ,113.6 ,111.2 ,103.3 ,118.7 ,112.2 ,110.9 ,121.1 ,106.1 ,110.7 ,203.8 ,124.4 ,81.4 
2019-10,115.7 ,114.6 ,121.7 ,116.1 ,112.8 ,112.5 ,111.8 ,119.8 ,102.0 ,113.7 ,215.3 ,139.0 ,82.9 
2019-11,120.4 ,119.3 ,127.7 ,126.3 ,114.5 ,116.0 ,114.8 ,124.5 ,108.6 ,115.2 ,241.3 ,138.9 ,78.3 
2019-12,121.6 ,118.4 ,134.2 ,117.9 ,117.3 ,117.1 ,115.0 ,128.4 ,107.8 ,115.9 ,231.0 ,138.1 ,79.3 
2020-01,111.8 ,114.1 ,106.5 ,94.6 ,121.9 ,113.5 ,114.1 ,117.0 ,105.1 ,115.6 ,213.5 ,131.9 ,84.9 
2020-02,97.8 ,100.2 ,102.2 ,75.7 ,105.4 ,106.2 ,108.7 ,108.0 ,87.1 ,113.7 ,238.6 ,130.2 ,72.0 
2020-03,106.9 ,103.0 ,130.6 ,77.8 ,108.7 ,105.4 ,102.6 ,124.5 ,74.6 ,110.1 ,269.4 ,146.2 ,75.9 
2020-04,108.9 ,104.6 ,131.5 ,89.5 ,107.0 ,109.9 ,106.8 ,129.3 ,87.8 ,110.5 ,253.4 ,133.3 ,77.6 
2020-05,118.4 ,115.0 ,139.6 ,109.3 ,112.5 ,115.0 ,111.2 ,136.9 ,99.9 ,111.4 ,267.7 ,139.7 ,76.1 
2020-06,116.9 ,110.0 ,151.4 ,98.2 ,109.0 ,117.3 ,112.2 ,144.7 ,101.6 ,111.4 ,261.0 ,138.9 ,73.7 
2020-07,110.9 ,108.1 ,130.6 ,90.0 ,110.9 ,110.7 ,108.5 ,124.2 ,97.7 ,110.1 ,264.4 ,130.3 ,74.9 
2020-08,111.7 ,110.5 ,135.0 ,81.2 ,114.3 ,114.7 ,112.3 ,137.5 ,95.7 ,112.5 ,286.7 ,125.9 ,66.1 
2020-09,118.0 ,115.7 ,132.8 ,90.9 ,123.1 ,115.4 ,112.8 ,136.6 ,93.9 ,115.0 ,292.3 ,138.1 ,77.0 
2020-10,115.8 ,113.2 ,133.4 ,113.5 ,108.5 ,114.0 ,109.9 ,140.0 ,98.2 ,108.8 ,288.0 ,144.4 ,69.6 
2020-11,119.0 ,115.1 ,144.3 ,112.3 ,110.1 ,115.2 ,111.4 ,140.7 ,97.3 ,111.1 ,308.3 ,142.5 ,69.3 
2020-12,119.1 ,115.2 ,143.9 ,98.1 ,116.7 ,115.2 ,113.0 ,136.4 ,91.7 ,115.7 ,322.9 ,153.2 ,70.5 
2021-01,112.2 ,110.8 ,134.5 ,83.9 ,114.3 ,117.0 ,114.5 ,142.4 ,92.7 ,115.8 ,302.4 ,142.3 ,76.2 
2021-02,106.2 ,105.6 ,122.1 ,84.0 ,108.6 ,116.0 ,113.5 ,139.7 ,99.9 ,112.0 ,272.1 ,124.3 ,63.2 
2021-03,119.5 ,115.6 ,147.6 ,106.7 ,112.1 ,117.4 ,115.0 ,138.9 ,102.4 ,113.9 ,315.0 ,137.7 ,72.7 
2021-04,118.9 ,115.5 ,141.7 ,110.4 ,112.0 ,119.3 ,117.2 ,139.4 ,107.5 ,115.2 ,307.1 ,134.2 ,74.2 
2021-05,122.8 ,120.0 ,144.4 ,114.6 ,116.4 ,119.1 ,116.1 ,141.6 ,104.3 ,115.2 ,317.2 ,134.8 ,71.7 
2021-06,119.5 ,115.0 ,147.1 ,103.3 ,113.7 ,119.9 ,117.0 ,141.4 ,106.0 ,116.0 ,308.1 ,128.8 ,70.0 
2021-07,120.2 ,117.8 ,144.7 ,99.3 ,117.9 ,119.9 ,117.6 ,138.8 ,107.1 ,116.7 ,324.7 ,130.9 ,71.4 
2021-08,116.5 ,115.7 ,137.2 ,90.4 ,118.3 ,120.0 ,118.4 ,138.3 ,108.3 ,116.6 ,308.5 ,130.2 ,69.1 
2021-09,122.7 ,124.0 ,126.3 ,108.3 ,127.4 ,121.3 ,121.1 ,136.2 ,111.1 ,118.9 ,321.7 ,128.3 ,77.1 
2021-10,125.0 ,125.6 ,137.5 ,129.4 ,117.2 ,121.3 ,121.4 ,139.0 ,111.4 ,117.5 ,340.8 ,137.0 ,70.0 
2021-11,124.7 ,124.2 ,139.6 ,127.4 ,116.6 ,120.5 ,120.4 ,134.7 ,111.8 ,117.7 ,354.2 ,138.8 ,69.6 
2021-12,127.2 ,125.2 ,146.5 ,118.8 ,121.9 ,123.2 ,122.7 ,138.9 ,112.0 ,120.8 ,370.3 ,139.1 ,68.1 
2022-01,117.5 ,119.7 ,120.6 ,98.5 ,124.5 ,120.7 ,121.1 ,131.4 ,108.0 ,121.3 ,322.5 ,133.8 ,77.0 
2022-02,107.9 ,107.1 ,130.1 ,88.5 ,106.0 ,120.7 ,119.3 ,143.7 ,107.4 ,115.9 ,307.4 ,122.1 ,63.8 
2022-03,122.0 ,119.9 ,141.3 ,109.3 ,118.6 ,119.9 ,119.2 ,133.1 ,104.3 ,120.6 ,334.4 ,132.1 ,74.6 
