날짜,국고채_3년_평균,국고채_5년_평균,국고채_10년_평균,회사채_3년_평균,CD_91몰_평균,콜금리_1일몰_평균,기준금리
2012-11,2.8,2.87,2.99,3.32,2.85,2.75,2.75
2012-12,2.85,2.98,3.13,3.3,2.88,2.75,2.75
2013-01,2.75,2.86,3.05,3.2,2.86,2.76,2.75
2013-02,2.7,2.83,3.04,3.06,2.83,2.75,2.75
2013-03,2.6,2.69,2.91,2.95,2.81,2.74,2.75
2013-04,2.55,2.63,2.84,2.91,2.8,2.75,2.75
2013-05,2.59,2.68,2.9,2.96,2.72,2.55,2.5
2013-06,2.87,3.08,3.31,3.24,2.69,2.49,2.5
2013-07,2.91,3.18,3.47,3.38,2.68,2.48,2.5
2013-08,2.94,3.26,3.61,3.33,2.66,2.5,2.5
2013-09,2.9,3.17,3.53,3.29,2.66,2.5,2.5
2013-10,2.83,3.08,3.44,3.25,2.66,2.5,2.5
2013-11,2.94,3.24,3.58,3.37,2.65,2.5,2.5
2013-12,2.94,3.3,3.65,3.36,2.65,2.5,2.5
2014-01,2.89,3.26,3.65,3.32,2.65,2.5,2.5
2014-02,2.85,3.16,3.52,3.28,2.65,2.49,2.5
2014-03,2.87,3.17,3.54,3.3,2.65,2.48,2.5
2014-04,2.88,3.17,3.54,3.3,2.65,2.49,2.5
2014-05,2.84,3.08,3.4,3.26,2.65,2.49,2.5
2014-06,2.75,2.97,3.3,3.17,2.65,2.48,2.5
2014-07,2.56,2.77,3.06,2.97,2.65,2.49,2.5
2014-08,2.54,2.77,3.09,2.93,2.52,2.34,2.25
2014-09,2.41,2.65,3.01,2.78,2.35,2.23,2.25
2014-10,2.24,2.42,2.77,2.6,2.21,2.06,2.0
2014-11,2.14,2.33,2.69,2.47,2.14,1.98,2.0
2014-12,2.14,2.33,2.68,2.46,2.13,1.99,2.0
2015-01,2.04,2.16,2.42,2.36,2.13,1.99,2.0
2015-02,2.02,2.11,2.35,2.3,2.12,1.99,2.0
2015-03,1.87,1.97,2.28,2.13,1.95,1.82,1.75
2015-04,1.74,1.86,2.18,1.99,1.81,1.73,1.75
2015-05,1.88,2.11,2.49,2.12,1.8,1.74,1.75
2015-06,1.77,2.04,2.47,2.01,1.7,1.57,1.5
2015-07,1.78,2.05,2.45,2.0,1.65,1.48,1.5
2015-08,1.74,1.95,2.31,1.98,1.64,1.49,1.5
2015-09,1.65,1.85,2.22,1.95,1.6,1.48,1.5
2015-10,1.63,1.78,2.09,1.96,1.58,1.48,1.5
2015-11,1.75,1.95,2.25,2.12,1.59,1.49,1.5
2015-12,1.72,1.9,2.18,2.14,1.67,1.48,1.5
2016-01,1.63,1.77,2.03,2.1,1.67,1.49,1.5
2016-02,1.47,1.59,1.83,1.95,1.64,1.49,1.5
2016-03,1.5,1.61,1.85,1.98,1.63,1.49,1.5
2016-04,1.47,1.57,1.81,1.94,1.61,1.49,1.5
2016-05,1.46,1.55,1.79,1.91,1.58,1.49,1.5
2016-06,1.33,1.41,1.62,1.79,1.43,1.29,1.25
2016-07,1.22,1.25,1.4,1.65,1.36,1.23,1.25
2016-08,1.24,1.26,1.42,1.65,1.35,1.23,1.25
2016-09,1.31,1.35,1.51,1.7,1.34,1.24,1.25
2016-10,1.36,1.41,1.6,1.78,1.35,1.23,1.25
2016-11,1.61,1.74,1.97,2.02,1.42,1.23,1.25
2016-12,1.69,1.87,2.16,2.16,1.54,1.23,1.25
2017-01,1.64,1.82,2.11,2.1,1.5,1.24,1.25
2017-02,1.67,1.86,2.16,2.13,1.49,1.23,1.25
2017-03,1.71,1.91,2.22,2.21,1.48,1.23,1.25
2017-04,1.68,1.86,2.18,2.2,1.43,1.23,1.25
