소비유형코드,전자상거래/통신판매,식료품,의류/잡화,연료,가구/가전,의료/보건,자동차,여행/교통,  스포츠/오락/여가,  서적/문구,교육,  숙박,  음식점,공과금/개인 및 전문 서비스,금융/보험
2009/12,,,,,,,,,,,,,,,
2010/01,-9.1,-10.7,-18,-9.6,-17.8,-1.8,-42.6,-6.4,-17.8,-14.5,-7.1,-12.8,-13.7,4.6,-11
2010/02,3.1,35.2,11.1,6.3,10,4.3,13.1,2.4,0.7,3.8,12,-10.5,0,2,6.1
2010/03,4.5,-22.7,4.6,3.1,31.8,2.6,5.4,-0.1,19.3,39.4,5.2,0.8,11.1,-6.8,12.2
2010/04,-5.5,2.6,4.2,3.7,-21.6,-0.1,-11.5,12.2,3.6,-28.6,-13,24.8,0.3,6.9,-11.3
2010/05,-1.3,6.2,6,-4.8,1.7,-7.3,-7.1,1.9,8.8,-8.9,6.4,3.3,5.5,-7,-7
2010/06,6.5,-5.2,-9.2,1.1,24.1,8.5,15.1,8.5,-6.8,11.6,0.7,7.9,-5.5,14.7,11
2010/07,-1.8,-0.9,-10,3.2,8.2,0.3,5.2,16.1,-5.8,1.5,10.5,4.6,6.7,11,1
2010/08,-2.3,5.6,-6.8,3,-12,1.7,-6.3,-10.5,-1.1,-7.4,-1.7,11.8,5.1,-2.3,-1.2
2010/09,5.4,37.2,17.4,-3.9,-18.3,-5.5,8.7,-12.4,-0.3,5.3,-8.4,-22.1,-11.1,8.1,5.3
2010/10,0.5,-27.2,12.1,-1.4,5,3.4,-0.9,-7.7,16.9,-11,-1.4,2.8,3,-4.6,-2.6
2010/11,16.6,8.9,13,11,26,3.5,2.2,13.8,12.9,8.8,7.6,9.8,10.2,-0.2,7
2010/12,1,-5.7,-8.7,1,-9.7,4.8,15.7,7.6,-18.9,21,8.2,10.5,5.6,6.8,2.7
2011/01,-4.3,10.9,-13.1,-2.5,-16.1,0.4,-20.8,-2.1,-17.9,-16.6,-1,-5.9,-11.5,8.6,-9.3
