소비유형코드,전자상거래/통신판매,식료품,의류/잡화,연료,가구/가전,의료/보건,자동차,여행/교통,  스포츠/오락/여가,  서적/문구,교육,  숙박,  음식점,공과금/개인 및 전문 서비스,금융/보험
2009/12,,,,,,,,,,,,,,,
2010/01,-9.1,-10.7,-18,-9.6,-17.8,-1.8,-42.6,-6.4,-17.8,-14.5,-7.1,-12.8,-13.7,4.6,-11
2010/02,-6.9,22.1,0.3,-4,-0.7,-5.8,2.1,-7.5,-9,-6.2,1.2,-19.1,-9.7,-7.9,-4.2
2010/03,15.7,-14.4,15.8,14.1,46,13.6,16.7,10.6,32.1,54.4,16.4,11.7,23,3.2,24.2
2010/04,-8.5,-0.7,0.8,0.3,-24.1,-3.3,-14.3,8.6,0.3,-30.9,-15.8,20.8,-2.9,3.4,-14.2
2010/05,2,9.7,9.5,-1.7,5.1,-4.2,-4,5.3,12.4,-5.8,9.9,6.7,9,-3.9,-3.9
2010/06,3,-8.3,-12.1,-2.2,20.1,5,11.4,5,-9.8,8,-2.6,4.4,-8.6,11,7.4
2010/07,1.5,2.5,-7,6.7,11.8,3.6,8.7,20,-2.7,4.8,14.2,8,10.2,14.7,4.4
2010/08,-2.3,5.6,-6.8,3,-12,1.7,-6.3,-10.5,-1.1,-7.4,-1.7,11.8,5.1,-2.3,-1.2
2010/09,2,32.7,13.6,-7,-20.9,-8.5,5.2,-15.3,-3.5,1.9,-11.4,-24.6,-14,4.6,1.9
2010/10,3.9,-24.8,15.8,1.8,8.5,6.8,2.4,-4.6,20.8,-8.1,1.9,6.2,6.5,-1.4,0.6
2010/11,12.9,5.4,9.3,7.4,21.9,0.2,-1.1,10.2,9.3,5.2,4.1,6.3,6.6,-3.4,3.6
2010/12,4.3,-2.6,-5.6,4.3,-6.7,8.3,19.6,11.2,-16.2,25,11.8,14.2,9.1,10.3,6.2
2011/01,-4.3,10.9,-13.1,-2.5,-16.1,0.4,-20.8,-2.1,-17.9,-16.6,-1,-5.9,-11.5,8.6,-9.3
