강원_합계,강원_종합소매,강원_ 백화점,강원_ 대형마트/유통전문점,강원_ 슈퍼마켓,강원_ 편의점,강원_ 면세점,강원_전자상거래/통신판매,강원_식료품,강원_ 일반식료품,강원_ 건강보조식품,강원_의류/잡화,강원_ 의복/직물,강원_ 복식잡화,강원_ 시계/귀금속/안경,강원_ 화장품,강원_연료,강원_가구/가전,강원_ 가구,강원_ 가전제품/정보통신기기,강원_의료/보건,강원_ 종합병원,강원_ 일반병의원/기타의료기관,강원_자동차,강원_ 국산자동차신품,강원_ 기타운송수단,강원_ 자동차 부품 및 정비,강원_여행/교통,강원_ 여행사/자동차임대,강원_ 항공사,강원_ 대중교통,강원_오락/문화,강원_ 스포츠/오락/여가,강원_ 서적/문구,강원_교육,강원_숙박/음식,강원_ 숙박,강원_ 음식점,강원_공과금/개인 및 전문 서비스,강원_금융/보험,강원_기타
5493.62,975.64,62.04,630.39,225.39,57.73,0.09,9.8,175.77,166.09,9.68,327.53,222.86,24.49,29.39,50.79,1100.93,179.38,18.84,160.54,403.47,105.92,297.55,210.45,0.85,8.82,200.78,9.49,5.26,0.0,4.23,478.88,448.89,29.99,125.42,1045.6,182.49,863.11,112.96,0.4,337.89
5523.43,1053.05,65.75,691.89,226.21,69.18,0.03,9.5,164.55,155.65,8.9,321.16,210.52,28.16,29.0,53.48,1074.72,126.13,16.91,109.22,388.42,103.76,284.66,231.6,0.61,6.78,224.21,8.29,5.31,0.0,2.98,398.48,359.83,38.65,110.57,1184.12,266.21,917.9,109.45,0.42,342.96
5521.1,1011.42,51.44,639.52,240.56,79.86,0.03,10.19,184.06,174.36,9.69,264.61,165.02,19.12,30.96,49.51,1055.03,113.39,15.46,97.93,445.97,117.77,328.2,155.0,0.62,6.58,147.79,8.62,5.61,0.02,2.98,393.47,359.87,33.6,118.47,1298.69,379.87,918.82,121.09,0.38,340.72
4813.2,973.24,45.26,637.68,226.66,63.6,0.05,16.2,191.64,181.56,10.08,237.36,144.76,16.09,29.61,46.9,933.51,115.67,15.67,99.99,382.12,97.87,284.25,125.81,0.66,6.91,118.24,7.28,4.46,0.0,2.82,307.21,278.03,29.18,133.46,976.58,218.67,757.91,106.22,0.33,306.57
5246.59,942.2,52.67,609.88,220.44,59.06,0.15,19.63,162.98,152.84,10.14,294.43,181.04,22.71,37.61,53.07,1011.03,158.57,23.95,134.63,422.23,110.77,311.46,177.15,0.74,11.61,164.79,8.31,4.74,0.0,3.57,393.19,338.86,54.33,122.99,1048.47,163.84,884.63,122.33,0.34,362.76
5168.55,980.55,57.07,637.74,228.83,56.77,0.13,18.6,161.13,151.6,9.53,287.22,177.15,21.97,37.16,50.94,992.57,131.86,22.21,109.65,409.17,111.88,297.29,170.76,0.78,11.23,158.75,8.23,4.58,0.0,3.65,405.75,364.56,41.19,110.82,998.17,133.97,864.2,121.38,0.39,371.93
5766.94,1097.52,59.67,707.16,262.67,67.91,0.12,16.43,192.27,180.84,11.44,347.01,224.9,24.85,41.1,56.15,1028.13,159.49,21.91,137.58,404.44,112.43,292.01,180.99,0.77,11.84,168.37,10.29,5.6,0.0,4.69,510.99,477.02,33.97,112.15,1172.86,178.29,994.57,126.03,0.46,407.86
5405.17,1041.72,44.86,662.73,264.93,69.11,0.09,12.66,181.29,171.29,10.01,279.54,170.08,23.92,38.03,47.52,978.83,158.58,21.99,136.58,381.92,105.47,276.45,174.14,0.71,11.26,162.17,8.71,5.23,0.0,3.48,456.11,425.35,30.75,109.71,1117.8,191.49,926.31,116.97,0.38,386.79
5952.04,1210.84,47.66,790.01,289.29,83.78,0.1,11.5,190.96,182.11,8.85,262.19,152.72,22.79,38.06,48.63,1058.32,190.22,21.67,168.55,418.22,120.92,297.3,185.26,0.97,11.97,172.32,10.98,6.92,0.02,4.03,433.88,400.29,33.59,114.1,1337.76,295.02,1042.74,121.74,0.47,405.59
6915.36,1301.99,36.75,817.18,335.28,112.68,0.1,10.87,262.09,251.68,10.41,219.98,114.99,18.68,38.98,47.34,1309.92,178.75,21.06,157.69,413.19,115.11,298.09,194.56,0.92,11.67,181.96,18.21,10.71,0.07,7.44,510.12,476.34,33.78,147.71,1808.78,492.72,1316.05,122.34,0.46,416.39
5598.22,1186.44,59.23,767.07,283.62,76.46,0.06,8.89,244.54,230.54,14.0,280.69,178.29,21.6,33.76,47.04,1038.2,119.22,20.56,98.66,365.77,99.96,265.8,160.03,0.81,9.09,150.13,10.13,5.67,0.05,4.41,444.15,410.16,33.99,105.49,1134.64,209.71,924.94,112.76,0.38,386.89
5727.52,1014.41,66.04,630.76,242.91,74.59,0.11,12.19,202.95,189.8,13.15,316.17,206.17,23.02,33.71,53.27,1079.7,139.9,24.42,115.48,418.96,110.11,308.84,177.16,0.58,9.53,167.05,13.46,6.57,0.26,6.63,516.88,486.83,30.05,111.18,1193.25,200.53,992.72,126.02,0.52,404.78
5491.43,1002.6,78.54,627.44,230.64,65.89,0.09,10.42,169.79,160.6,9.19,324.39,219.73,22.98,29.99,51.69,1049.28,163.94,18.97,144.97,405.1,107.99,297.11,237.52,0.79,7.8,228.93,8.75,4.61,0.31,3.83,471.73,442.29,29.44,108.58,1030.52,164.02,866.5,116.28,0.49,392.06
5695.28,1084.33,80.16,679.48,242.47,82.13,0.09,11.33,171.05,162.0,9.05,326.07,215.82,25.47,32.17,52.61,1057.38,117.27,18.82,98.45,405.15,114.28,290.88,223.93,0.55,5.7,217.68,8.25,4.72,0.41,3.13,419.35,380.85,38.5,110.76,1234.67,256.59,978.08,123.8,0.51,401.44
5508.17,1060.62,53.44,652.57,268.64,85.87,0.1,11.04,232.62,219.51,13.11,259.11,159.85,17.37,32.39,49.5,999.29,109.77,15.87,93.9,422.53,115.54,306.99,143.49,0.59,5.51,137.39,9.54,5.36,0.6,3.59,381.33,349.73,31.61,113.36,1275.77,334.64,941.13,126.14,0.55,363.01
4552.19,900.13,59.35,557.78,209.92,71.29,1.78,46.88,135.5,127.64,7.86,218.03,132.27,14.5,30.47,40.79,807.14,109.01,17.28,91.73,384.93,109.21,275.72,124.82,7.82,5.78,111.21,10.97,5.1,1.99,3.88,280.6,252.69,27.91,132.48,957.33,216.54,740.79,117.39,12.18,314.83
5218.27,984.85,61.02,622.35,235.25,66.11,0.12,11.43,163.12,152.6,10.52,285.89,177.13,21.48,38.86,48.41,947.46,149.65,28.03,121.62,424.64,117.64,306.99,181.53,0.79,11.36,169.38,8.37,4.86,0.23,3.29,378.4,325.62,52.78,119.53,1054.87,147.81,907.06,124.35,0.42,383.75
5021.73,940.18,53.79,584.36,238.99,62.86,0.19,11.5,161.25,151.81,9.44,274.28,171.93,20.06,36.17,46.12,907.54,119.3,21.98,97.31,402.83,113.21,289.62,181.22,0.74,12.13,168.35,8.23,4.47,0.38,3.38,391.65,358.51,33.14,109.1,976.45,126.57,849.88,120.5,0.6,417.09
5814.14,1088.41,58.16,676.53,274.93,78.7,0.09,12.8,213.15,201.05,12.1,310.1,195.77,22.53,40.55,51.25,1010.94,165.37,24.18,141.18,396.42,109.65,286.77,178.24,0.67,13.37,164.2,10.01,5.65,0.19,4.17,473.27,439.69,33.58,112.9,1264.39,187.51,1076.88,131.12,0.54,446.49
5591.77,1104.35,52.76,682.4,285.95,83.08,0.17,14.66,201.11,191.81,9.3,258.82,155.44,21.5,38.18,43.7,955.45,174.87,24.17,150.7,377.33,106.24,271.09,162.24,0.79,11.13,150.32,9.11,5.39,0.17,3.55,439.54,410.47,29.07,108.54,1230.94,203.31,1027.64,124.07,0.45,430.29
6024.42,1154.29,47.09,718.51,295.81,92.77,0.11,12.77,208.81,198.67,10.14,261.66,147.45,21.67,42.85,49.68,1021.27,193.96,23.71,170.25,434.14,123.69,310.45,188.07,0.68,13.43,173.96,14.96,6.91,0.32,7.74,432.85,398.9,33.95,120.5,1394.75,288.63,1106.13,126.86,0.55,458.99
6984.4,1294.85,42.66,781.21,355.82,115.02,0.15,10.11,302.51,291.12,11.39,226.39,118.67,18.41,42.27,47.04,1192.41,163.32,28.36,134.97,425.54,114.94,310.59,189.27,0.6,13.28,175.4,20.84,9.29,0.42,11.13,492.72,456.83,35.89,155.24,1909.72,468.37,1441.35,131.32,0.56,469.6
5648.55,1156.21,55.62,712.68,297.54,90.28,0.1,9.44,251.17,237.12,14.05,264.55,164.85,20.34,36.0,43.37,960.86,145.46,27.28,118.19,385.11,102.38,282.73,166.95,0.55,11.68,154.72,13.62,5.79,0.31,7.52,433.26,398.87,34.39,121.94,1193.86,207.59,986.27,116.93,0.49,428.67
5933.91,1054.57,71.63,632.31,266.12,83.71,0.79,29.6,226.54,214.13,12.41,304.34,197.62,22.36,35.62,48.75,1007.5,169.76,31.07,138.68,435.05,114.88,320.17,183.73,6.56,10.66,166.51,22.22,7.29,1.84,13.09,473.33,441.98,31.35,112.85,1293.05,192.52,1100.53,136.81,9.47,475.07
5523.51,1014.91,78.21,609.0,252.8,74.84,0.06,14.52,191.92,180.6,11.32,302.11,199.62,21.64,32.64,48.22,941.58,181.83,25.72,156.11,418.01,111.49,306.53,210.18,0.64,7.42,202.12,12.93,5.28,0.15,7.5,441.06,410.72,30.34,111.84,1113.1,160.07,953.03,124.23,0.5,444.78
5829.95,1131.37,98.94,672.6,260.86,97.2,1.76,57.1,182.61,172.71,9.9,315.7,209.65,24.0,34.47,47.59,927.37,133.51,21.84,111.68,428.98,121.07,307.91,264.76,18.45,7.06,239.25,15.62,6.39,1.56,7.67,388.09,347.39,40.69,118.73,1258.83,245.86,1012.96,149.53,14.54,443.2
5573.52,1027.7,55.47,608.56,271.33,92.24,0.1,9.61,206.6,196.95,9.66,250.84,151.28,17.57,36.25,45.74,819.78,118.45,22.78,95.67,469.44,128.72,340.72,150.38,0.72,6.87,142.79,13.13,6.29,0.28,6.56,380.14,346.6,33.54,126.64,1447.88,357.72,1090.17,139.19,0.47,413.27
5056.77,1091.01,52.27,674.31,280.95,83.4,0.08,8.52,240.86,228.42,12.45,234.06,141.36,15.84,34.87,41.98,719.23,120.36,21.88,98.48,393.59,108.39,285.21,125.28,0.42,6.65,118.21,10.43,4.78,0.15,5.5,301.98,273.05,28.93,137.92,1168.35,242.76,925.59,121.36,0.51,383.3
5346.6,1036.82,64.91,631.06,258.97,81.73,0.15,10.01,172.37,162.31,10.06,291.64,178.17,22.66,43.72,47.09,816.11,157.75,30.72,127.03,461.5,124.6,336.89,196.31,0.97,12.8,182.53,11.25,5.17,0.18,5.89,374.75,322.07,52.68,126.57,1116.9,148.22,968.69,139.11,0.42,435.09
5238.97,1026.77,53.74,610.38,274.15,88.35,0.16,10.3,182.97,172.66,10.31,280.33,170.01,20.81,43.07,46.45,764.85,128.51,26.02,102.49,453.15,126.49,326.66,187.96,0.63,12.2,175.14,12.24,4.97,0.15,7.11,392.38,357.39,34.98,114.53,1109.75,138.99,970.76,134.67,0.64,439.93
6294.68,1252.7,64.37,741.59,330.61,116.0,0.13,9.61,245.68,233.81,11.88,338.78,211.89,24.7,50.15,52.05,882.34,156.58,29.66,126.92,445.79,118.42,327.36,198.29,0.61,15.05,182.63,15.54,6.64,0.15,8.75,512.9,477.24,35.66,119.0,1486.71,228.49,1258.23,153.09,0.55,477.11
5458.29,1166.03,45.0,686.05,321.15,113.68,0.15,9.53,200.85,189.39,11.47,254.48,147.65,20.42,41.14,45.26,786.47,150.2,28.3,121.9,407.74,99.64,308.1,183.87,0.56,15.26,168.05,11.52,4.68,0.11,6.73,415.77,385.91,29.86,117.45,1178.49,165.12,1013.37,135.36,0.52,440.01
6173.54,1263.53,48.24,740.96,342.2,131.77,0.36,11.52,228.51,216.5,12.0,260.3,147.26,20.81,43.41,48.81,863.55,202.21,29.58,172.64,467.66,118.32,349.33,201.46,0.69,15.18,185.59,13.97,4.83,0.17,8.96,444.3,408.13,36.17,125.73,1491.17,292.49,1198.68,142.64,1.09,455.9
7112.76,1454.04,44.43,830.38,408.71,170.18,0.35,9.82,304.34,294.47,9.88,228.87,119.61,19.33,44.57,45.36,1008.3,187.66,29.09,158.57,454.67,115.17,339.5,193.17,0.64,11.66,180.88,18.52,7.3,0.08,11.15,496.62,463.14,33.48,159.97,2014.35,470.08,1544.27,141.83,0.9,439.7
