날짜,경기_합계,경기_종합소매,경기_ 백화점,경기_ 대형마트/유통전문점,경기_ 슈퍼마켓,경기_ 편의점,경기_ 면세점,경기_전자상거래/통신판매,경기_식료품,경기_ 일반식료품,경기_ 건강보조식품,경기_의류/잡화,경기_ 의복/직물,경기_ 복식잡화,경기_ 시계/귀금속/안경,경기_ 화장품,경기_연료,경기_가구/가전,경기_ 가구,경기_ 가전제품/정보통신기기,경기_의료/보건,경기_ 종합병원,경기_ 일반병의원/기타의료기관,경기_자동차,경기_ 국산자동차신품,경기_ 기타운송수단,경기_ 자동차 부품 및 정비,경기_여행/교통,경기_ 여행사/자동차임대,경기_ 항공사,경기_ 대중교통,경기_오락/문화,경기_ 스포츠/오락/여가,경기_ 서적/문구,경기_교육,경기_숙박/음식,경기_ 숙박,경기_ 음식점,경기_공과금/개인 및 전문 서비스,경기_금융/보험,경기_기타
2012/11,59359.17,12850.88,2556.35,7305.36,2554.62,434.46,0.08,1208.47,1023.11,924.4,98.7,2845.96,1923.57,186.19,269.29,466.92,7890.33,1838.13,242.17,1595.96,4536.43,986.56,3549.88,5357.42,3906.27,159.66,1291.48,351.29,20.26,0.03,330.99,3252.6,2657.72,594.87,2400.59,7169.86,200.66,6969.2,4822.15,4.21,3807.74
2012/12,61067.1,13908.8,2727.11,7958.46,2788.97,434.15,0.11,1294.04,1068.65,974.14,94.51,2727.66,1752.39,200.39,275.57,499.31,7639.96,1535.78,236.84,1298.94,4413.29,963.57,3449.71,6478.21,4939.22,130.43,1408.55,357.9,16.14,0.02,341.74,2730.17,2047.08,683.09,2359.61,8044.32,230.21,7814.11,4716.37,4.14,3788.22
2013/01,56255.53,12404.09,2075.45,7008.03,2901.57,418.95,0.09,1274.76,1053.28,951.52,101.76,2338.42,1448.38,148.22,288.71,453.12,7418.61,1327.89,221.25,1106.64,4967.59,1103.6,3864.0,4378.1,3046.56,114.13,1217.41,326.87,15.23,0.0,311.64,2448.47,1883.95,564.52,2383.35,7261.2,202.0,7059.2,4703.13,3.74,3966.01
2013/02,51909.57,11653.7,1823.22,6761.9,2678.54,389.97,0.08,1182.01,1156.4,1049.48,106.92,2194.68,1374.26,127.06,269.52,423.85,6732.9,1325.44,230.54,1094.9,4322.22,952.59,3369.62,4496.06,3338.63,110.29,1047.13,296.27,13.48,0.0,282.79,2110.59,1597.83,512.76,2202.99,6207.6,169.55,6038.04,4499.59,3.58,3525.55
2013/03,59020.01,12151.72,2064.78,6874.08,2762.46,450.3,0.1,1259.9,1003.53,897.06,106.48,2574.19,1536.95,180.0,340.91,516.33,7631.7,1763.07,295.35,1467.72,4766.11,1032.49,3733.62,5662.35,4273.65,168.74,1219.97,342.12,18.96,0.0,323.16,3122.55,2374.97,747.58,2434.83,7615.83,202.37,7413.46,4653.49,4.53,4034.1
2013/04,59103.14,12849.13,2318.29,7159.83,2913.78,457.13,0.09,1324.67,996.77,896.9,99.86,2638.61,1634.77,177.61,328.18,498.05,7466.64,1591.91,286.65,1305.25,4561.23,1014.01,3547.22,5659.23,4317.22,164.45,1177.56,360.45,18.11,0.0,342.35,3152.05,2549.13,602.92,2166.4,7649.18,201.09,7448.09,4625.34,4.2,4057.33
2013/05,62425.48,13478.28,2328.67,7551.27,3089.77,508.48,0.09,1356.82,1119.28,995.92,123.36,3097.21,1983.67,209.03,365.99,538.52,7443.1,1903.21,280.14,1623.07,4723.14,1063.03,3660.1,5777.06,4220.46,215.42,1341.19,379.5,21.74,0.0,357.76,3542.05,2984.37,557.69,2333.99,8248.36,205.38,8042.97,4718.17,4.24,4301.08
2013/06,59184.61,12612.86,1941.33,7017.1,3151.05,503.28,0.1,1809.77,1067.72,963.17,104.55,2611.97,1542.59,205.67,345.55,518.16,7252.91,1938.7,288.26,1650.44,4481.56,1009.01,3472.55,4626.52,3073.42,196.93,1356.18,356.84,16.86,0.0,339.98,3208.88,2725.71,483.16,2231.37,7818.88,204.61,7614.27,4601.31,4.03,4561.29
2013/07,62967.49,13610.2,2032.13,7763.3,3252.29,562.36,0.11,2389.22,1051.85,945.21,106.64,2337.1,1310.25,187.26,333.96,505.62,7570.94,2045.11,279.76,1765.35,4702.26,1090.22,3612.04,5389.03,3788.41,191.89,1408.72,392.36,17.04,0.0,375.33,3021.0,2428.78,592.22,2447.39,8450.19,216.96,8233.23,4696.07,3.92,4860.85
2013/08,61773.12,12676.66,1691.03,7181.98,3241.38,562.15,0.12,2592.47,1105.34,1000.96,104.38,2038.08,1055.63,155.95,345.06,481.44,8038.45,1918.87,280.25,1638.63,4714.22,1063.61,3650.61,4839.64,3189.32,199.31,1451.01,383.7,20.07,0.0,363.63,3067.27,2550.64,516.63,2392.28,8609.68,243.58,8366.1,4661.77,4.04,4730.65
2013/09,59568.4,13875.33,2161.83,7795.56,3361.21,556.63,0.1,2715.76,1468.21,1324.12,144.09,2402.67,1469.25,168.81,294.43,470.18,7289.98,1491.96,284.92,1207.04,4237.72,931.97,3305.76,3821.0,2435.14,157.13,1228.72,377.95,24.29,0.0,353.66,3104.31,2576.06,528.26,2149.32,7541.5,205.01,7336.49,4337.06,4.07,4751.56
2013/10,62925.3,13021.13,2405.83,7001.91,3052.01,561.27,0.11,2964.47,1111.96,994.23,117.73,2864.16,1857.8,200.71,307.19,498.46,7592.7,1733.76,333.33,1400.43,4889.78,1036.92,3852.87,4754.82,3205.2,174.77,1374.86,405.66,20.63,0.03,385.01,3494.09,2962.58,531.51,2259.79,8060.77,216.63,7844.15,4744.17,4.44,5023.58
