경남_합계,경남_종합소매,경남_ 백화점,경남_ 대형마트/유통전문점,경남_ 슈퍼마켓,경남_ 편의점,경남_ 면세점,경남_전자상거래/통신판매,경남_식료품,경남_ 일반식료품,경남_ 건강보조식품,경남_의류/잡화,경남_ 의복/직물,경남_ 복식잡화,경남_ 시계/귀금속/안경,경남_ 화장품,경남_연료,경남_가구/가전,경남_ 가구,경남_ 가전제품/정보통신기기,경남_의료/보건,경남_ 종합병원,경남_ 일반병의원/기타의료기관,경남_자동차,경남_ 국산자동차신품,경남_ 기타운송수단,경남_ 자동차 부품 및 정비,경남_여행/교통,경남_ 여행사/자동차임대,경남_ 항공사,경남_ 대중교통,경남_오락/문화,경남_ 스포츠/오락/여가,경남_ 서적/문구,경남_교육,경남_숙박/음식,경남_ 숙박,경남_ 음식점,경남_공과금/개인 및 전문 서비스,경남_금융/보험,경남_기타
11013.58,2340.68,612.66,1212.98,426.31,88.73,0.01,18.64,233.25,209.28,23.97,767.86,545.91,46.39,61.56,114.0,2333.27,350.08,42.5,307.58,977.76,235.19,742.57,365.11,2.09,24.41,338.61,8.72,3.0,0.0,5.72,692.08,632.12,59.96,384.88,1660.17,71.77,1588.4,236.3,1.93,642.83
11237.86,2572.64,632.06,1393.8,459.61,87.18,0.01,18.92,249.43,227.95,21.48,715.45,490.8,47.1,61.39,116.16,2329.14,321.2,39.37,281.83,941.61,231.81,709.79,366.8,1.96,19.13,345.71,6.71,3.13,0.0,3.58,633.03,564.97,68.06,316.77,1849.71,81.91,1767.8,249.65,1.77,665.03
10828.83,2302.91,494.35,1252.78,469.17,86.6,0.01,17.91,253.06,228.46,24.61,639.4,423.6,36.15,68.29,111.38,2306.08,272.17,38.01,234.16,1081.94,255.53,826.41,364.03,2.61,19.66,341.76,7.17,3.44,0.0,3.72,530.32,463.21,67.11,350.87,1761.97,88.89,1673.08,279.46,1.7,659.85
9650.24,2189.02,450.16,1233.93,423.47,81.44,0.01,21.6,263.53,235.54,27.98,531.79,337.67,32.29,60.18,101.64,2068.85,313.19,37.93,275.27,935.29,217.75,717.55,308.06,2.01,16.99,289.06,6.26,2.95,0.0,3.31,451.66,392.9,58.76,310.34,1418.42,57.01,1361.41,236.34,1.72,594.18
10818.81,2232.74,506.38,1183.21,448.93,94.21,0.01,18.9,237.05,210.32,26.73,645.74,405.99,45.43,77.8,116.52,2285.27,352.96,49.84,303.12,1026.36,240.86,785.5,361.84,2.4,27.17,332.27,7.88,2.58,0.0,5.3,649.34,532.78,116.56,332.21,1739.37,72.93,1666.44,247.65,1.85,679.65
10809.72,2373.55,553.13,1254.08,470.55,95.79,0.0,18.03,236.06,211.46,24.6,639.75,410.92,42.63,76.16,110.05,2221.24,309.0,48.87,260.13,996.53,236.8,759.73,348.1,2.01,24.4,321.68,9.69,2.89,0.0,6.8,629.76,546.78,82.98,304.65,1759.54,76.54,1683.0,280.09,1.88,681.85
11358.41,2483.52,554.43,1320.97,504.74,103.37,0.0,18.9,263.13,232.22,30.9,748.81,495.37,49.14,84.59,119.71,2197.11,382.56,47.47,335.09,1022.43,244.15,778.28,392.05,2.61,27.48,361.97,11.14,3.47,0.0,7.67,664.51,598.07,66.44,312.39,1875.33,76.75,1798.58,269.66,1.91,714.96
10477.89,2283.75,445.2,1228.24,510.32,99.98,0.01,16.18,232.86,208.64,24.22,580.34,355.91,45.73,73.93,104.77,2079.26,377.29,45.28,332.01,981.26,236.61,744.65,383.82,2.58,23.61,357.63,9.19,3.21,0.0,5.99,574.42,511.58,62.83,310.34,1724.22,73.32,1650.9,240.98,2.03,681.96
11568.33,2674.17,510.45,1487.49,558.57,117.58,0.08,18.04,245.99,220.46,25.53,579.05,339.87,44.85,82.49,111.83,2238.02,467.37,43.68,423.69,1011.02,256.91,754.12,415.44,2.31,26.45,386.68,9.86,3.32,0.0,6.54,581.27,512.06,69.21,328.7,1968.07,109.46,1858.61,270.27,2.22,758.85
11324.41,2466.34,393.51,1377.84,577.76,116.46,0.77,24.13,275.59,250.45,25.14,448.13,234.21,34.53,80.39,99.0,2374.17,419.36,40.82,378.54,1020.31,253.66,766.64,412.95,3.48,24.66,384.81,13.99,3.85,0.0,10.14,533.48,469.15,64.34,327.0,2048.34,144.38,1903.96,239.15,2.24,719.25
