날짜,광주_합계,광주_종합소매,광주_ 백화점,광주_ 대형마트/유통전문점,광주_ 슈퍼마켓,광주_ 편의점,광주_ 면세점,광주_전자상거래/통신판매,광주_식료품,광주_ 일반식료품,광주_ 건강보조식품,광주_의류/잡화,광주_ 의복/직물,광주_ 복식잡화,광주_ 시계/귀금속/안경,광주_ 화장품,광주_연료,광주_가구/가전,광주_ 가구,광주_ 가전제품/정보통신기기,광주_의료/보건,광주_ 종합병원,광주_ 일반병의원/기타의료기관,광주_자동차,광주_ 국산자동차신품,광주_ 기타운송수단,광주_ 자동차 부품 및 정비,광주_여행/교통,광주_ 여행사/자동차임대,광주_ 항공사,광주_ 대중교통,광주_오락/문화,광주_ 스포츠/오락/여가,광주_ 서적/문구,광주_교육,광주_숙박/음식,광주_ 숙박,광주_ 음식점,광주_공과금/개인 및 전문 서비스,광주_금융/보험,광주_기타
2012/11,7169.31,1645.37,708.06,609.92,287.69,39.7,0.0,5.33,153.37,139.41,13.96,469.87,333.52,30.79,41.12,64.44,965.55,203.89,29.6,174.3,670.01,169.62,500.4,875.62,680.36,22.46,172.79,6.32,3.95,0.0,2.36,371.02,314.34,56.68,284.54,923.15,30.46,892.69,150.97,0.06,444.24
2012/12,7686.41,1769.25,721.2,698.14,311.04,38.87,0.0,5.01,176.76,161.08,15.68,450.8,308.16,31.27,40.65,70.72,963.26,189.1,30.15,158.95,670.87,164.81,506.06,1161.68,955.84,19.12,186.73,5.98,3.61,0.0,2.37,355.87,290.27,65.6,257.0,1057.31,32.25,1025.05,153.49,0.07,469.97
2013/01,7027.38,1552.79,571.09,602.23,341.45,38.02,0.0,4.99,178.39,158.73,19.66,352.61,222.07,23.8,44.91,61.83,939.16,153.69,28.6,125.1,809.02,192.8,616.22,850.9,676.87,16.12,157.91,6.67,4.11,0.0,2.56,316.64,250.22,66.43,295.78,973.57,27.44,946.14,158.06,0.07,435.04
2013/02,6523.35,1461.17,494.69,618.3,311.73,36.44,0.0,4.19,197.6,179.03,18.56,355.27,235.66,20.45,41.04,58.13,860.41,154.37,28.24,126.13,700.06,165.19,534.87,895.84,742.24,16.21,137.4,7.28,4.81,0.0,2.48,267.41,212.66,54.75,265.31,810.64,23.33,787.31,144.65,0.12,399.01
2013/03,7419.1,1549.52,588.72,601.74,317.65,41.41,0.0,5.05,161.77,145.06,16.71,432.72,280.61,29.83,51.59,70.68,948.71,209.4,37.42,171.97,749.35,179.25,570.1,1080.33,901.74,20.63,157.96,7.58,4.39,0.0,3.2,397.43,288.06,109.37,279.3,950.25,28.8,921.45,167.16,0.1,480.41
2013/04,7392.61,1601.0,596.46,625.5,336.42,42.61,0.0,5.03,163.09,147.91,15.18,421.43,275.0,27.94,51.04,67.45,932.15,186.38,34.64,151.74,722.58,175.16,547.42,1163.06,989.23,19.76,154.07,7.85,3.98,0.0,3.87,360.74,284.93,75.81,254.62,952.18,29.5,922.68,162.72,0.05,459.72
2013/05,7732.7,1667.74,599.8,665.6,355.84,46.5,0.0,4.97,181.32,160.9,20.42,494.75,333.14,31.51,56.81,73.29,929.14,224.48,35.45,189.03,733.76,177.47,556.29,1218.6,1020.98,23.87,173.75,8.41,4.2,0.0,4.22,365.33,302.68,62.66,257.91,989.8,31.34,958.45,169.89,0.1,486.52
2013/06,6776.64,1488.76,478.07,603.98,362.45,44.26,0.0,4.81,164.86,149.49,15.37,386.62,241.61,29.44,49.65,65.91,893.4,222.07,35.53,186.54,703.89,167.28,536.61,805.34,614.24,21.95,169.15,8.16,3.9,0.0,4.27,295.65,238.68,56.97,251.39,931.11,27.96,903.15,162.42,0.06,458.1
2013/07,7297.85,1647.78,482.93,721.38,393.86,49.62,0.0,4.95,166.35,150.91,15.44,377.16,226.07,29.12,52.66,69.32,956.49,258.59,38.36,220.23,768.75,185.83,582.92,861.46,656.97,24.4,180.08,8.32,3.86,0.0,4.47,307.51,241.05,66.46,270.39,1040.15,28.65,1011.51,172.48,0.2,457.27
2013/08,7224.52,1478.68,379.14,660.11,390.98,48.45,0.0,5.09,178.66,163.02,15.64,301.36,166.11,22.8,52.18,60.27,990.67,239.41,32.7,206.7,791.66,184.56,607.1,1065.76,861.46,22.13,182.17,8.85,3.97,0.0,4.88,263.55,203.36,60.18,266.58,1019.18,28.64,990.55,165.98,0.14,448.95
2013/09,6970.23,1730.68,529.51,750.79,399.92,50.47,0.0,4.69,241.47,217.49,23.99,416.2,278.86,27.75,47.15,62.45,917.8,165.04,35.59,129.44,682.25,156.72,525.53,699.96,525.16,21.58,153.23,8.27,3.62,0.0,4.65,310.53,248.24,62.29,244.38,925.51,26.65,898.86,160.41,0.25,462.8
2013/10,7624.85,1595.91,575.53,613.69,355.86,50.82,0.0,5.59,166.71,151.98,14.74,464.17,315.8,31.13,48.05,69.19,947.1,194.46,45.07,149.38,773.58,176.63,596.95,1178.75,980.8,21.06,176.89,11.71,5.98,0.0,5.73,365.0,307.94,57.06,253.04,1005.4,30.47,974.93,172.08,0.37,490.99
2013/11,7450.25,1646.04,638.68,633.69,327.19,46.48,0.0,5.51,164.34,151.86,12.48,486.45,346.05,30.81,43.17,66.42,931.88,203.64,38.14,165.5,733.52,168.06,565.46,1026.87,825.11,19.15,182.61,9.81,3.94,0.0,5.86,364.87,311.12,53.75,255.26,959.29,30.02,929.28,163.69,0.21,498.86
2013/12,8122.87,1793.22,677.78,706.16,360.61,48.67,0.0,5.96,190.64,175.96,14.67,469.39,320.83,31.73,45.81,71.02,954.04,208.01,39.19,168.81,769.98,178.77,591.21,1263.36,1063.11,18.8,181.45,8.85,3.44,0.0,5.41,364.82,299.44,65.38,262.41,1139.52,33.35,1106.16,176.64,0.26,515.78
2014/01,7348.26,1579.67,497.19,647.86,390.88,43.74,0.0,5.68,251.06,227.66,23.4,362.32,221.76,23.55,48.89,68.12,909.03,171.15,38.39,132.76,830.61,182.17,648.44,1056.03,880.36,16.51,159.17,8.48,4.02,0.0,4.46,294.02,229.3,64.72,284.65,972.35,24.79,947.56,170.64,0.19,452.37
