날짜,기타_합계,기타_종합소매,기타_ 백화점,기타_ 대형마트/유통전문점,기타_ 슈퍼마켓,기타_ 편의점,기타_ 면세점,기타_전자상거래/통신판매,기타_식료품,기타_ 일반식료품,기타_ 건강보조식품,기타_의류/잡화,기타_ 의복/직물,기타_ 복식잡화,기타_ 시계/귀금속/안경,기타_ 화장품,기타_연료,기타_가구/가전,기타_ 가구,기타_ 가전제품/정보통신기기,기타_의료/보건,기타_ 종합병원,기타_ 일반병의원/기타의료기관,기타_자동차,기타_ 국산자동차신품,기타_ 기타운송수단,기타_ 자동차 부품 및 정비,기타_여행/교통,기타_ 여행사/자동차임대,기타_ 항공사,기타_ 대중교통,기타_오락/문화,기타_ 스포츠/오락/여가,기타_ 서적/문구,기타_교육,기타_숙박/음식,기타_ 숙박,기타_ 음식점,기타_공과금/개인 및 전문 서비스,기타_금융/보험,기타_기타
2012/11,3056.02,475.24,84.21,311.55,47.53,15.77,16.18,373.02,62.51,52.96,9.55,190.66,112.58,12.01,18.55,47.52,262.59,76.23,10.74,65.49,270.16,91.55,178.61,101.18,22.72,9.33,69.12,73.26,9.51,33.88,29.87,199.11,170.57,28.54,59.54,406.89,32.29,374.6,135.28,149.68,220.67
2012/12,2930.84,472.06,87.67,310.0,46.69,14.62,13.08,372.41,59.01,50.03,8.98,170.76,95.96,11.88,17.7,45.22,236.17,62.18,8.75,53.43,249.85,84.97,164.89,113.39,34.68,11.61,67.1,74.85,12.21,34.09,28.56,157.6,129.33,28.27,57.97,421.34,34.17,387.16,133.34,139.66,210.24
2013/01,3073.05,484.32,71.87,327.84,52.88,16.06,15.66,374.14,68.85,58.33,10.53,164.63,86.6,9.97,21.42,46.65,249.45,53.75,9.52,44.23,308.68,101.29,207.39,95.45,23.19,9.23,63.03,84.38,14.71,37.35,32.32,148.65,118.3,30.35,70.66,435.66,39.59,396.07,159.48,144.3,230.65
2013/02,2564.88,438.9,59.09,305.82,47.52,14.61,11.86,265.71,72.94,62.53,10.41,141.96,74.59,7.9,17.7,41.77,221.93,44.51,8.24,36.27,260.14,86.79,173.35,76.86,16.62,8.5,51.75,70.0,13.59,31.0,25.41,115.72,91.37,24.35,59.0,332.7,24.29,308.4,123.7,126.38,214.44
2013/03,2756.53,412.94,62.83,275.75,45.63,15.9,12.83,297.79,54.51,45.36,9.15,160.92,83.28,10.13,22.64,44.87,241.44,52.03,11.17,40.86,271.0,89.17,181.84,90.07,22.52,11.07,56.48,69.45,8.77,33.68,27.0,167.24,129.95,37.29,66.02,376.96,26.64,350.32,129.63,141.08,225.45
2013/04,3048.91,431.98,67.73,286.11,49.48,15.97,12.69,316.37,60.55,51.21,9.34,170.19,88.63,11.25,22.59,47.71,241.27,47.13,10.78,36.35,278.21,94.51,183.71,86.64,17.08,11.03,58.53,74.91,8.6,36.39,29.92,179.22,152.51,26.71,55.64,413.21,28.65,384.57,131.32,132.06,430.19
2013/05,3009.12,473.0,74.5,315.33,50.65,18.19,14.32,342.36,63.33,52.62,10.72,182.31,100.08,12.31,23.08,46.83,226.58,55.42,10.35,45.07,271.97,90.57,181.4,87.93,14.82,8.41,64.7,84.77,14.58,38.74,31.45,186.16,161.15,25.02,61.25,413.91,28.71,385.2,137.61,141.73,280.81
2013/06,2694.66,420.24,56.49,284.11,50.84,16.9,11.89,299.93,53.04,45.09,7.95,152.22,78.03,11.46,20.89,41.84,205.84,55.36,9.48,45.87,245.77,83.97,161.81,85.55,17.41,8.96,59.18,71.57,11.43,33.59,26.55,155.82,134.6,21.21,54.38,366.75,24.65,342.1,130.79,126.32,271.09
2013/07,3151.72,464.16,63.03,314.87,54.14,19.78,12.34,358.61,59.55,50.38,9.17,159.46,76.29,11.03,22.51,49.63,245.56,74.88,11.77,63.11,286.79,92.1,194.68,108.43,27.75,11.51,69.17,88.22,16.3,41.34,30.59,163.92,135.75,28.17,72.48,434.18,29.14,405.04,179.75,139.28,316.45
2013/08,2862.74,433.83,50.94,299.73,51.22,18.87,13.08,274.54,58.11,50.37,7.74,127.2,55.39,8.65,21.17,41.99,241.67,66.16,10.42,55.75,268.52,85.8,182.71,98.01,22.12,9.32,66.57,75.62,14.71,31.36,29.55,142.92,119.14,23.79,60.2,413.72,37.29,376.43,151.95,128.41,321.87
2013/09,2753.84,514.12,97.86,337.47,50.54,18.11,10.14,289.18,80.66,69.77,10.89,137.39,69.33,8.49,18.03,41.55,212.82,49.78,10.06,39.73,231.41,73.96,157.45,80.03,15.96,8.57,55.49,66.08,13.1,26.07,26.91,145.59,121.03,24.56,52.39,337.38,23.81,313.57,149.35,120.06,287.6
2013/10,3067.4,442.18,74.99,286.66,48.65,19.35,12.53,327.06,62.47,52.51,9.95,181.83,100.43,11.63,20.6,49.17,232.65,62.05,13.36,48.69,282.84,87.38,195.45,97.37,22.14,8.84,66.39,75.58,11.96,31.91,31.71,192.48,168.67,23.82,56.95,413.53,31.24,382.3,180.55,133.2,326.66
2013/11,2827.1,484.07,113.84,297.17,45.82,16.38,10.86,286.75,57.21,49.76,7.45,164.84,96.32,10.51,15.56,42.45,218.71,58.73,10.84,47.89,254.15,80.47,173.69,93.87,21.07,8.36,64.44,66.05,8.48,28.88,28.69,170.64,149.23,21.41,52.49,358.54,27.0,331.54,126.57,121.27,313.23
2013/12,2923.81,434.68,84.36,276.95,46.56,16.63,10.19,300.44,60.99,52.73,8.26,171.56,95.59,11.24,18.65,46.08,230.37,55.11,10.72,44.39,272.09,87.55,184.55,99.16,23.62,9.76,65.78,74.81,11.62,32.46,30.72,155.97,128.97,26.99,58.94,423.63,29.11,394.52,135.43,120.02,330.61
