대구_합계,대구_종합소매,대구_ 백화점,대구_ 대형마트/유통전문점,대구_ 슈퍼마켓,대구_ 편의점,대구_ 면세점,대구_전자상거래/통신판매,대구_식료품,대구_ 일반식료품,대구_ 건강보조식품,대구_의류/잡화,대구_ 의복/직물,대구_ 복식잡화,대구_ 시계/귀금속/안경,대구_ 화장품,대구_연료,대구_가구/가전,대구_ 가구,대구_ 가전제품/정보통신기기,대구_의료/보건,대구_ 종합병원,대구_ 일반병의원/기타의료기관,대구_자동차,대구_ 국산자동차신품,대구_ 기타운송수단,대구_ 자동차 부품 및 정비,대구_여행/교통,대구_ 여행사/자동차임대,대구_ 항공사,대구_ 대중교통,대구_오락/문화,대구_ 스포츠/오락/여가,대구_ 서적/문구,대구_교육,대구_숙박/음식,대구_ 숙박,대구_ 음식점,대구_공과금/개인 및 전문 서비스,대구_금융/보험,대구_기타
9274.31,2598.13,920.69,1083.1,554.47,39.01,0.86,19.05,141.87,126.34,15.53,676.9,457.6,42.17,75.05,102.08,1477.96,314.77,33.98,280.79,1036.19,269.71,766.48,254.06,0.89,36.3,216.87,13.13,5.18,0.57,7.39,489.15,422.53,66.63,359.68,1200.52,51.72,1148.8,232.58,1.68,458.64
9396.8,2772.1,925.59,1214.32,593.49,38.36,0.34,20.84,154.65,139.98,14.68,629.08,410.39,41.84,72.82,104.03,1479.73,256.87,32.5,224.37,993.94,251.56,742.39,257.99,1.11,34.74,222.14,12.05,4.24,0.36,7.45,463.98,393.73,70.25,302.65,1359.36,55.75,1303.61,226.3,1.84,465.41
9053.84,2474.08,766.71,1075.45,590.13,40.23,1.56,21.21,158.92,141.62,17.29,517.69,306.63,34.21,80.31,96.54,1482.47,226.88,30.67,196.21,1142.42,286.52,855.9,250.24,0.55,33.64,216.04,13.85,5.1,0.41,8.34,424.48,354.14,70.34,337.05,1253.81,47.5,1206.31,237.33,1.34,512.08
8209.37,2329.72,664.65,1084.32,541.22,38.19,1.35,17.84,176.74,157.78,18.96,503.62,308.01,30.14,75.48,89.99,1333.6,216.41,29.21,187.2,988.69,247.51,741.18,212.58,0.57,29.43,182.57,13.36,4.94,0.74,7.67,350.25,286.01,64.24,316.42,1051.66,35.82,1015.83,219.49,1.51,477.48
8981.66,2335.86,713.81,1008.66,571.01,41.47,0.92,18.66,147.31,130.86,16.45,592.08,349.73,40.92,94.18,107.25,1446.66,301.27,36.75,264.52,1070.15,267.63,802.52,259.19,0.74,42.34,216.12,14.49,4.85,0.52,9.12,477.48,365.68,111.8,329.17,1217.77,43.2,1174.57,245.75,2.17,523.65
8924.31,2458.66,783.28,1041.06,589.78,42.84,1.69,19.97,144.12,128.14,15.97,590.64,361.13,37.34,92.11,100.06,1399.92,274.51,36.47,238.03,1033.11,269.4,763.71,245.0,1.06,37.67,206.26,15.49,4.66,0.75,10.07,435.67,354.84,80.83,295.15,1234.23,46.92,1187.31,243.51,1.84,532.51
9409.06,2553.79,787.19,1096.54,622.35,46.28,1.42,19.88,163.03,141.97,21.06,665.83,410.93,43.09,103.39,108.41,1378.09,338.35,38.5,299.85,1074.91,271.08,803.83,286.79,1.2,46.34,239.24,16.72,5.08,0.47,11.17,449.74,378.47,71.26,309.62,1333.5,46.19,1287.31,252.55,1.71,564.56
8638.0,2296.7,652.57,991.91,608.3,42.94,0.98,16.96,151.0,133.56,17.44,547.8,311.92,39.8,94.88,101.2,1317.39,322.07,38.87,283.2,1013.05,249.97,763.08,271.75,0.87,41.35,229.53,17.28,5.3,1.12,10.85,381.14,314.14,67.0,301.4,1225.91,40.19,1185.73,238.6,1.59,535.36
9388.44,2605.04,700.82,1190.39,664.71,47.69,1.44,21.9,154.51,137.62,16.89,523.41,285.5,37.29,95.99,104.64,1443.37,376.17,37.52,338.64,1091.72,276.25,815.48,297.27,1.23,41.82,254.22,19.71,6.52,1.07,12.12,385.62,311.4,74.23,321.94,1337.47,42.68,1294.79,242.15,1.8,566.35
8933.38,2298.8,562.96,1051.5,634.68,47.42,2.24,20.68,158.68,142.46,16.23,433.61,216.41,31.43,95.27,90.5,1484.2,335.84,35.45,300.39,1097.45,267.62,829.83,288.28,0.74,41.24,246.3,20.04,6.78,1.31,11.96,350.97,279.42,71.55,340.83,1306.32,43.16,1263.16,239.61,2.02,556.05
8954.51,2625.32,729.88,1177.4,668.66,48.31,1.07,19.27,215.04,191.27,23.77,567.42,360.65,35.37,81.4,90.01,1354.95,251.42,38.42,213.0,957.94,236.17,721.77,245.67,0.63,36.75,208.29,19.37,6.24,0.58,12.55,392.81,319.6,73.2,285.31,1226.59,41.3,1185.29,225.59,1.64,566.18
9311.55,2530.03,858.3,1009.02,613.1,47.31,2.31,21.2,157.62,141.37,16.25,640.94,414.88,40.63,82.92,102.51,1396.43,269.54,45.77,223.77,1117.44,271.65,845.79,276.22,0.7,38.9,236.63,21.63,7.93,0.2,13.51,458.75,390.11,68.64,295.64,1286.83,51.23,1235.6,242.13,1.7,595.44
