날짜,대전_합계,대전_종합소매,대전_ 백화점,대전_ 대형마트/유통전문점,대전_ 슈퍼마켓,대전_ 편의점,대전_ 면세점,대전_전자상거래/통신판매,대전_식료품,대전_ 일반식료품,대전_ 건강보조식품,대전_의류/잡화,대전_ 의복/직물,대전_ 복식잡화,대전_ 시계/귀금속/안경,대전_ 화장품,대전_연료,대전_가구/가전,대전_ 가구,대전_ 가전제품/정보통신기기,대전_의료/보건,대전_ 종합병원,대전_ 일반병의원/기타의료기관,대전_자동차,대전_ 국산자동차신품,대전_ 기타운송수단,대전_ 자동차 부품 및 정비,대전_여행/교통,대전_ 여행사/자동차임대,대전_ 항공사,대전_ 대중교통,대전_오락/문화,대전_ 스포츠/오락/여가,대전_ 서적/문구,대전_교육,대전_숙박/음식,대전_ 숙박,대전_ 음식점,대전_공과금/개인 및 전문 서비스,대전_금융/보험,대전_기타
2012/11,7264.85,1617.34,421.3,743.1,411.22,41.72,0.0,44.21,198.66,172.48,26.18,417.59,271.78,28.75,42.8,74.26,912.97,218.45,26.84,191.61,735.8,163.2,572.6,354.22,127.03,19.46,207.73,697.52,2.85,0.01,694.65,305.44,253.39,52.05,242.26,934.61,40.71,893.9,164.15,1.88,419.76
2012/12,7547.91,1774.67,444.72,842.54,446.37,41.03,0.0,47.52,207.58,186.02,21.56,402.42,254.7,30.82,43.43,73.47,894.03,174.05,27.0,147.04,712.45,157.49,554.96,424.71,166.16,17.12,241.43,753.21,2.17,0.0,751.04,292.86,234.48,58.38,220.52,1063.33,43.28,1020.05,161.93,1.05,417.6
2013/01,7186.94,1550.32,342.31,732.49,436.22,39.31,0.0,43.85,198.3,174.73,23.57,340.56,200.67,22.33,46.79,70.78,896.51,156.66,26.56,130.1,824.69,183.68,641.01,301.49,87.91,16.4,197.18,802.13,2.06,0.04,800.03,260.61,204.23,56.38,239.88,963.04,39.11,923.93,166.17,1.36,441.37
2013/02,6566.49,1433.48,297.71,699.79,399.14,36.85,0.0,39.19,222.99,197.84,25.15,343.01,213.38,19.63,43.3,66.71,822.3,154.41,25.58,128.83,724.85,154.26,570.59,316.92,129.96,18.31,168.66,626.99,2.17,0.03,624.79,225.98,175.6,50.38,227.61,830.9,32.61,798.3,157.9,2.23,437.7
2013/03,7341.46,1513.28,346.53,695.02,427.73,44.0,0.0,42.44,192.94,170.91,22.03,391.69,226.44,29.71,56.22,79.32,922.95,205.0,33.51,171.49,787.21,171.7,615.51,400.89,175.23,25.49,200.18,640.97,3.47,0.0,637.5,320.51,229.75,90.76,247.18,982.12,38.47,943.65,182.27,1.97,510.06
2013/04,7274.34,1556.3,357.68,723.15,430.73,44.74,0.0,43.02,189.14,168.91,20.22,388.78,232.56,27.9,52.98,75.33,894.03,173.92,32.12,141.8,752.53,167.3,585.22,425.21,206.54,24.26,194.4,695.09,3.22,0.01,691.86,289.2,225.67,63.53,207.63,976.49,38.86,937.63,178.05,2.29,502.68
2013/05,7642.32,1629.24,357.83,764.39,457.05,49.97,0.0,46.03,208.11,182.5,25.6,442.99,269.37,31.72,60.88,81.01,888.15,208.99,28.83,180.16,772.22,174.0,598.23,432.15,179.82,26.5,225.83,730.58,2.26,0.0,728.31,303.09,247.74,55.35,218.86,1025.92,37.97,987.96,184.1,1.92,549.96
2013/06,7002.49,1474.86,293.22,694.43,438.48,48.73,0.0,40.87,187.75,168.04,19.71,365.44,203.08,29.69,56.7,75.97,858.97,200.91,30.0,170.91,740.24,165.92,574.33,379.26,126.78,25.3,227.19,615.33,2.48,0.0,612.84,257.47,206.09,51.38,216.15,970.05,33.59,936.45,171.13,1.25,522.79
2013/07,7599.12,1635.2,311.28,800.9,468.62,54.4,0.0,47.6,188.18,169.22,18.96,346.58,184.14,27.44,57.98,77.02,915.15,242.36,29.01,213.35,789.06,181.51,607.55,433.25,155.95,26.4,250.91,746.56,2.11,0.02,744.43,264.08,206.46,57.62,234.18,1053.47,35.42,1018.04,178.12,1.5,523.83
2013/08,7369.97,1482.6,247.5,731.57,450.91,52.62,0.0,45.21,197.46,178.38,19.08,291.53,143.07,22.34,56.96,69.16,947.14,211.37,28.84,182.52,778.54,172.22,606.33,425.86,154.39,23.55,247.92,716.92,2.55,0.0,714.36,243.84,190.81,53.03,252.11,1044.78,35.7,1009.08,177.39,1.99,553.25
2013/09,7302.65,1695.1,320.26,821.27,499.16,54.41,0.0,46.95,268.19,237.84,30.35,350.41,207.55,25.98,49.4,67.48,867.33,172.2,30.12,142.08,689.34,147.54,541.8,385.91,151.24,20.41,214.26,702.5,25.57,0.0,676.93,264.77,210.68,54.09,204.46,930.92,33.67,897.25,166.03,1.32,557.22
2013/10,7576.16,1571.67,358.16,694.28,464.49,54.18,0.56,42.7,198.1,176.43,21.67,407.68,251.67,29.61,51.81,74.58,900.98,205.23,38.12,167.11,778.24,167.22,611.02,439.68,181.03,22.53,236.12,754.53,2.71,0.01,751.81,303.27,252.81,50.46,214.94,1009.12,40.64,968.48,180.48,2.12,567.41
2013/11,7538.87,1618.22,394.12,706.52,466.49,50.64,0.45,43.16,201.51,181.43,20.08,416.44,272.24,27.41,46.65,70.14,892.31,230.5,29.61,200.89,759.84,167.12,592.71,463.33,175.95,16.69,270.68,707.77,2.41,0.02,705.33,300.38,250.96,49.43,216.75,971.41,39.85,931.56,176.01,2.08,539.16
2013/12,7967.12,1798.36,446.58,807.81,491.81,51.55,0.62,50.23,215.18,195.59,19.58,420.58,263.03,30.17,52.38,75.01,912.02,182.64,30.71,151.93,776.89,171.04,605.86,489.16,201.51,15.67,271.98,731.21,1.82,0.02,729.36,303.7,245.44,58.26,224.12,1157.34,45.14,1112.2,183.6,1.43,520.67
2014/01,7387.2,1604.21,322.66,741.81,493.13,45.76,0.85,42.39,273.4,244.85,28.55,352.84,207.42,21.74,53.42,70.26,884.36,162.72,30.44,132.28,824.13,180.11,644.02,349.38,122.81,16.89,209.69,697.52,1.77,0.01,695.74,252.74,198.34,54.39,237.78,990.99,35.82,955.17,183.26,1.45,530.04
