부산_합계,부산_종합소매,부산_ 백화점,부산_ 대형마트/유통전문점,부산_ 슈퍼마켓,부산_ 편의점,부산_ 면세점,부산_전자상거래/통신판매,부산_식료품,부산_ 일반식료품,부산_ 건강보조식품,부산_의류/잡화,부산_ 의복/직물,부산_ 복식잡화,부산_ 시계/귀금속/안경,부산_ 화장품,부산_연료,부산_가구/가전,부산_ 가구,부산_ 가전제품/정보통신기기,부산_의료/보건,부산_ 종합병원,부산_ 일반병의원/기타의료기관,부산_자동차,부산_ 국산자동차신품,부산_ 기타운송수단,부산_ 자동차 부품 및 정비,부산_여행/교통,부산_ 여행사/자동차임대,부산_ 항공사,부산_ 대중교통,부산_오락/문화,부산_ 스포츠/오락/여가,부산_ 서적/문구,부산_교육,부산_숙박/음식,부산_ 숙박,부산_ 음식점,부산_공과금/개인 및 전문 서비스,부산_금융/보험,부산_기타
14923.0,4397.59,1542.27,1866.73,757.0,81.57,150.03,34.77,219.8,181.39,38.42,971.81,656.47,64.26,94.22,156.85,1694.91,431.85,55.66,376.19,1627.99,460.8,1167.19,857.47,463.83,57.64,336.0,156.44,9.65,72.75,74.03,688.65,616.76,71.89,444.04,1981.31,149.46,1831.85,690.58,34.19,691.59
15924.36,4721.64,1561.02,2121.46,805.47,81.21,152.48,35.0,238.79,202.41,36.38,926.22,609.16,63.18,93.17,160.72,1760.9,395.52,54.48,341.04,1592.33,444.34,1147.99,1289.48,903.82,50.96,334.7,147.92,9.3,67.53,71.1,639.85,559.7,80.15,408.13,2303.47,167.81,2135.65,711.52,32.12,721.47
14703.3,4115.65,1209.49,1856.52,811.9,79.76,157.99,36.76,255.93,212.25,43.69,784.56,481.79,49.73,101.1,151.94,1727.92,346.02,52.08,293.95,1807.76,492.99,1314.77,783.76,395.23,44.22,344.31,155.3,10.08,75.81,69.42,570.03,490.08,79.95,446.6,2133.45,175.08,1958.37,746.08,32.43,761.04
13370.48,3764.26,1043.68,1769.03,749.12,75.87,126.55,33.91,270.69,225.14,45.55,734.16,460.72,42.17,92.88,138.39,1536.65,332.41,47.48,284.93,1606.26,430.06,1176.2,906.54,587.29,41.99,277.26,146.08,9.61,77.92,58.54,478.1,406.74,71.36,398.33,1787.16,132.13,1655.03,668.81,34.47,672.64
14830.86,4021.55,1194.37,1822.26,792.55,83.77,128.61,35.88,243.59,198.42,45.17,867.18,536.68,59.14,112.01,159.36,1666.06,438.73,61.97,376.75,1725.41,471.78,1253.63,991.54,624.23,50.23,317.08,169.96,9.91,90.84,69.21,654.32,514.02,140.3,432.73,2074.93,156.69,1918.25,694.4,40.36,774.23
14439.24,4171.18,1280.76,1843.27,816.43,86.0,144.72,37.3,241.12,197.57,43.55,818.04,503.43,56.72,109.01,148.88,1598.55,395.52,60.16,335.36,1639.21,461.61,1177.61,893.54,541.63,49.24,302.68,176.71,10.15,89.92,76.63,612.92,524.7,88.21,378.1,2032.61,144.24,1888.36,672.65,37.22,734.58
15100.31,4263.31,1238.62,1930.84,858.39,93.89,141.57,40.62,262.31,210.3,52.01,956.22,610.39,63.28,120.52,162.03,1588.31,464.14,57.6,406.53,1706.7,475.15,1231.54,815.81,413.39,70.81,331.6,188.14,12.27,91.79,84.08,669.97,592.87,77.1,403.52,2222.98,161.79,2061.19,708.74,37.37,772.19
14119.66,3903.55,1055.39,1769.57,857.89,92.92,127.77,27.19,232.29,189.38,42.92,786.14,466.8,60.76,109.31,149.26,1519.92,466.7,59.95,406.74,1622.56,449.99,1172.57,827.75,427.64,60.83,339.28,171.82,11.22,83.48,77.12,558.34,488.5,69.84,398.6,2065.44,148.12,1917.32,722.87,37.7,778.81
15398.28,4401.05,1133.3,2057.97,962.93,109.54,137.31,58.68,236.88,196.28,40.6,754.4,417.06,61.01,117.9,158.43,1670.07,536.73,58.04,478.68,1667.44,475.55,1191.89,919.78,472.01,55.45,392.32,201.56,12.7,108.44,80.41,534.02,451.46,82.56,434.35,2288.09,169.57,2118.51,795.36,35.24,864.64
14904.15,4052.97,975.8,1882.39,959.82,113.5,121.45,65.02,248.71,208.54,40.17,629.43,319.26,47.51,116.5,146.17,1734.1,491.69,51.82,439.87,1681.51,475.17,1206.33,896.55,481.15,55.68,359.72,188.98,14.23,83.51,91.24,495.64,422.12,73.52,429.77,2403.63,218.98,2184.65,725.26,36.79,824.11
14674.41,4432.54,1142.18,2098.44,969.13,105.63,117.16,56.93,312.61,262.81,49.8,851.2,557.74,51.76,99.88,141.82,1572.32,382.55,57.77,324.78,1477.8,407.33,1070.48,806.97,437.61,50.8,318.56,163.01,11.63,77.11,74.27,606.18,519.85,86.33,366.29,2034.42,139.86,1894.57,760.75,35.12,815.7
15018.51,4222.36,1232.66,1855.7,895.48,103.7,134.82,68.26,238.74,197.72,41.02,941.8,619.94,62.26,105.07,154.53,1591.95,418.81,65.19,353.62,1707.59,475.45,1232.14,826.24,428.72,50.8,346.72,188.17,12.55,89.73,85.9,674.16,602.97,71.19,392.46,2098.49,159.2,1939.28,747.3,37.02,865.14
15073.56,4432.55,1476.0,1888.87,850.41,97.03,120.24,66.7,223.97,185.75,38.23,996.64,682.44,61.25,98.24,154.7,1616.21,457.17,61.11,396.06,1645.64,455.69,1189.95,769.24,384.32,50.39,334.53,168.35,11.65,76.01,80.69,699.79,629.24,70.54,379.23,2031.72,145.38,1886.34,694.5,36.78,855.07
16121.81,4637.79,1685.48,1809.52,899.85,102.79,140.16,64.6,252.92,216.21,36.71,973.48,647.38,62.35,106.99,156.77,1665.09,447.44,63.29,384.15,1669.78,470.34,1199.44,1020.61,626.17,50.19,344.25,177.88,11.48,86.95,79.45,692.08,608.32,83.75,413.88,2439.93,176.04,2263.88,741.55,35.06,889.73
15007.9,4182.68,1312.28,1718.56,937.95,91.89,122.0,63.93,331.21,284.35,46.85,814.11,503.2,50.18,107.76,152.97,1629.39,385.93,58.49,327.44,1799.55,486.41,1313.14,817.15,426.47,48.95,341.74,185.67,11.55,97.16,76.95,572.27,496.03,76.24,425.98,2170.95,160.12,2010.83,778.0,34.26,816.84
13660.1,3578.65,1058.8,1539.72,786.25,92.46,101.42,331.61,207.97,176.68,31.29,719.6,443.9,42.93,98.33,134.44,1428.83,377.67,57.42,320.25,1598.88,440.52,1158.36,720.58,412.64,42.19,265.75,292.76,18.61,123.76,150.39,495.37,417.96,77.4,402.99,1905.58,136.95,1768.63,764.45,94.56,740.61
14913.88,4107.36,1315.47,1661.42,923.92,99.73,106.83,67.72,253.56,214.83,38.73,871.59,543.15,56.42,120.78,151.23,1574.46,446.24,70.34,375.9,1705.07,471.25,1233.82,833.04,455.6,57.38,320.06,209.08,12.51,106.33,90.25,677.78,536.46,141.32,429.35,2168.69,141.35,2027.34,717.52,40.77,811.65
14162.17,3645.01,1192.48,1514.32,713.88,100.01,124.34,67.72,247.56,208.66,38.9,854.66,532.78,58.83,115.13,147.91,1504.14,410.28,62.28,348.0,1648.0,458.33,1189.67,954.98,575.64,59.04,320.3,201.98,15.06,105.08,81.83,612.04,535.48,76.56,379.77,2048.03,137.62,1910.4,707.22,38.27,842.51
15338.25,4024.25,1314.22,1697.49,788.16,109.78,114.59,67.7,279.76,233.21,46.55,968.33,614.96,63.82,128.7,160.85,1564.48,495.32,66.33,428.99,1673.63,453.97,1219.66,1005.29,602.87,63.16,339.26,212.83,13.78,93.57,105.48,665.27,590.8,74.47,403.29,2357.73,158.01,2199.72,705.19,37.93,877.26
