서울_합계,서울_종합소매,서울_ 백화점,서울_ 대형마트/유통전문점,서울_ 슈퍼마켓,서울_ 편의점,서울_ 면세점,서울_전자상거래/통신판매,서울_식료품,서울_ 일반식료품,서울_ 건강보조식품,서울_의류/잡화,서울_ 의복/직물,서울_ 복식잡화,서울_ 시계/귀금속/안경,서울_ 화장품,서울_연료,서울_가구/가전,서울_ 가구,서울_ 가전제품/정보통신기기,서울_의료/보건,서울_ 종합병원,서울_ 일반병의원/기타의료기관,서울_자동차,서울_ 국산자동차신품,서울_ 기타운송수단,서울_ 자동차 부품 및 정비,서울_여행/교통,서울_ 여행사/자동차임대,서울_ 항공사,서울_ 대중교통,서울_오락/문화,서울_ 스포츠/오락/여가,서울_ 서적/문구,서울_교육,서울_숙박/음식,서울_ 숙박,서울_ 음식점,서울_공과금/개인 및 전문 서비스,서울_금융/보험,서울_기타
131882.45,16271.53,5114.34,6945.74,3124.94,660.4,426.12,27299.14,1013.02,789.99,223.03,4850.5,2911.7,350.44,440.91,1147.45,3145.31,3802.54,171.85,3630.69,8891.63,2539.44,6352.19,9197.02,7718.67,393.43,1084.92,4344.8,721.3,1913.62,1709.88,3313.65,1852.93,1460.72,2631.4,10392.36,820.76,9571.6,17465.05,10418.85,8845.65
138570.49,17501.51,5623.74,7439.08,3321.74,648.19,468.76,28013.71,1071.96,860.8,211.16,4733.35,2762.63,357.8,458.57,1154.35,3147.03,3511.55,166.22,3345.34,8152.91,2437.4,5715.51,10820.53,9312.76,386.01,1121.75,4739.82,975.44,2021.06,1743.31,3547.8,1948.03,1599.77,2862.63,11911.42,978.4,10933.01,18288.17,10343.59,9924.52
134351.73,15182.1,4290.1,6613.25,3213.01,630.0,435.73,26596.76,1078.96,847.8,231.16,3971.42,2163.52,270.92,469.14,1067.85,2975.1,4046.11,157.36,3888.75,9041.37,2744.27,6297.1,7116.97,6022.63,339.37,754.97,5007.53,1049.77,2211.7,1746.07,3346.39,1815.02,1531.37,2905.99,10426.09,853.04,9573.05,22639.76,10231.55,9785.63
119273.86,13979.67,3727.72,6344.25,2938.9,584.91,383.9,22864.68,1183.33,954.59,228.74,3733.86,2020.23,246.68,431.24,1035.71,2708.55,3852.64,156.22,3696.41,7839.83,2342.55,5497.28,7786.62,6814.72,311.75,660.14,4320.35,901.26,1878.7,1540.39,2900.55,1521.64,1378.92,2984.44,8836.38,684.09,8152.28,17885.92,9333.66,9063.38
129165.1,14518.77,4074.01,6387.08,3016.69,665.06,375.93,24857.51,1043.78,781.31,262.47,4363.0,2322.74,321.32,543.62,1175.33,3007.31,4602.13,210.86,4391.28,8455.38,2525.62,5929.76,9505.44,8308.96,425.02,771.45,4473.15,647.66,2212.92,1612.56,3560.35,1832.53,1727.82,3129.29,10320.86,671.66,9649.19,17852.88,10054.15,9421.1
130880.12,15328.37,4492.38,6612.02,3141.52,681.05,401.4,25967.3,1029.36,794.64,234.72,4295.64,2322.37,331.98,508.0,1133.28,2917.74,4398.59,196.87,4201.71,8087.61,2491.59,5596.02,9684.78,8527.02,419.64,738.12,4737.82,694.17,2291.94,1751.71,3278.19,1783.65,1494.54,2491.16,10264.07,688.83,9575.24,18600.62,10325.82,9473.06
134734.07,15650.5,4329.77,6897.63,3246.63,754.44,422.03,26735.11,1144.54,843.19,301.34,4772.2,2637.68,365.12,549.18,1220.22,2901.73,4944.07,179.96,4764.1,8376.92,2525.71,5851.21,10059.08,8741.08,494.1,823.9,5296.24,966.33,2492.75,1837.17,3332.27,1947.08,1385.19,2886.54,10744.51,741.67,10002.85,17900.66,10275.3,9714.41
124964.86,14642.96,3775.91,6486.59,3231.64,733.0,415.81,24131.56,1117.63,807.33,310.3,4328.67,2252.62,352.7,547.03,1176.32,2844.73,4875.52,174.99,4700.52,7846.29,2364.63,5481.66,8053.84,6744.94,498.25,810.64,4938.54,833.2,2430.85,1674.49,3063.19,1755.79,1307.4,2698.81,10083.92,640.5,9443.42,17909.97,9521.63,8907.61
139574.38,15678.72,3963.61,7075.45,3364.56,817.86,457.23,27427.97,1051.14,789.99,261.15,4070.02,2025.9,333.95,501.58,1208.59,3021.74,5321.34,175.85,5145.5,8365.57,2656.4,5709.17,8503.41,7135.92,522.37,845.13,6049.89,1453.64,2740.69,1855.56,3261.7,1772.78,1488.92,3140.66,10749.56,758.24,9991.33,22077.18,11093.07,9762.41
124442.3,14350.44,3396.74,6496.45,3261.74,796.88,398.62,23212.79,1052.87,803.03,249.84,3635.87,1729.53,283.34,518.67,1104.33,3170.34,4905.93,177.63,4728.3,8181.55,2510.36,5671.19,6997.26,5627.34,505.59,864.32,5073.05,1027.21,2175.81,1870.03,3122.61,1754.85,1367.76,3279.51,10561.17,795.86,9765.31,17780.0,9932.79,9186.15
