울산_합계,울산_종합소매,울산_ 백화점,울산_ 대형마트/유통전문점,울산_ 슈퍼마켓,울산_ 편의점,울산_ 면세점,울산_전자상거래/통신판매,울산_식료품,울산_ 일반식료품,울산_ 건강보조식품,울산_의류/잡화,울산_ 의복/직물,울산_ 복식잡화,울산_ 시계/귀금속/안경,울산_ 화장품,울산_연료,울산_가구/가전,울산_ 가구,울산_ 가전제품/정보통신기기,울산_의료/보건,울산_ 종합병원,울산_ 일반병의원/기타의료기관,울산_자동차,울산_ 국산자동차신품,울산_ 기타운송수단,울산_ 자동차 부품 및 정비,울산_여행/교통,울산_ 여행사/자동차임대,울산_ 항공사,울산_ 대중교통,울산_오락/문화,울산_ 스포츠/오락/여가,울산_ 서적/문구,울산_교육,울산_숙박/음식,울산_ 숙박,울산_ 음식점,울산_공과금/개인 및 전문 서비스,울산_금융/보험,울산_기타
4309.91,1115.25,335.6,510.78,245.4,23.47,0.0,7.67,105.25,98.42,6.83,229.94,149.6,14.06,26.89,39.39,799.44,139.77,16.75,123.03,402.8,97.18,305.62,139.56,0.55,11.52,127.49,2.19,1.49,0.0,0.7,192.62,169.92,22.69,182.38,679.95,32.92,647.03,91.12,0.26,221.7
4528.44,1231.57,343.22,604.01,260.91,23.44,0.0,8.37,129.04,122.86,6.17,223.95,143.64,14.03,27.08,39.2,807.86,125.25,15.64,109.61,394.18,95.21,298.97,137.34,1.37,9.66,126.31,2.47,1.5,0.0,0.96,185.75,158.51,27.25,165.48,784.84,35.61,749.23,98.61,0.28,233.45
4292.08,1063.56,269.27,515.6,255.58,23.1,0.0,8.15,127.94,120.29,7.65,184.23,103.65,11.24,29.01,40.33,794.06,100.4,15.23,85.17,459.92,107.49,352.42,134.95,0.29,9.5,125.16,2.38,1.38,0.0,1.0,162.23,137.39,24.84,181.84,718.67,34.57,684.1,120.15,0.41,233.2
3808.26,990.99,232.81,502.74,233.81,21.63,0.0,7.91,119.36,111.46,7.9,193.4,123.74,9.6,25.25,34.81,724.97,97.41,14.93,82.48,391.09,92.97,298.11,117.17,0.25,8.16,108.76,2.04,1.24,0.0,0.8,130.44,109.02,21.42,152.66,587.11,26.19,560.91,87.94,0.21,205.57
4249.15,1029.22,251.74,498.49,253.42,25.56,0.0,7.76,113.41,106.05,7.36,212.4,127.59,13.28,31.43,40.1,795.43,134.28,19.8,114.48,423.06,105.33,317.73,135.24,0.41,13.1,121.73,2.5,1.5,0.0,1.01,192.39,148.04,44.35,174.8,694.18,29.49,664.7,98.8,0.43,235.24
4226.88,1082.48,280.09,514.84,261.71,25.84,0.0,8.52,111.88,104.58,7.3,208.57,125.61,12.87,31.72,38.38,788.12,114.95,17.68,97.27,412.18,105.5,306.68,129.69,0.26,12.56,116.86,2.47,1.55,0.0,0.92,178.28,147.13,31.15,159.77,699.02,31.62,667.4,95.27,0.43,235.26
4408.48,1111.04,265.16,536.67,281.1,28.11,0.0,8.48,117.6,109.09,8.51,241.37,150.59,14.8,34.78,41.21,789.19,133.22,17.77,115.45,419.22,108.54,310.69,147.13,0.51,15.04,131.58,2.18,1.37,0.0,0.81,185.15,159.7,25.45,161.67,745.84,34.7,711.15,101.18,0.24,244.97
4128.79,1016.66,219.46,491.63,277.98,27.59,0.0,7.45,108.46,100.91,7.55,203.32,117.45,14.37,32.51,38.99,747.37,129.81,17.93,111.88,404.21,107.3,296.91,145.69,0.49,14.34,130.85,2.83,1.85,0.0,0.97,164.7,141.2,23.5,163.9,700.96,29.03,671.93,104.34,0.32,228.77
4585.55,1204.99,243.26,610.78,318.12,32.54,0.3,9.51,117.08,109.34,7.74,202.69,112.64,13.64,36.09,40.31,810.0,172.19,18.29,153.9,434.87,112.54,322.32,160.68,0.71,12.89,147.08,3.12,1.97,0.0,1.15,167.21,139.75,27.46,173.58,766.72,30.98,735.74,119.01,0.3,243.61
4329.19,1069.38,197.47,528.01,312.63,31.0,0.28,9.07,123.58,116.88,6.7,151.86,71.72,10.45,33.43,36.25,833.46,147.27,15.47,131.8,432.75,108.99,323.76,152.5,0.99,12.51,139.01,2.49,1.59,0.0,0.9,151.12,127.75,23.37,164.59,764.17,35.34,728.83,100.75,0.24,225.96
