인천_합계,인천_종합소매,인천_ 백화점,인천_ 대형마트/유통전문점,인천_ 슈퍼마켓,인천_ 편의점,인천_ 면세점,인천_전자상거래/통신판매,인천_식료품,인천_ 일반식료품,인천_ 건강보조식품,인천_의류/잡화,인천_ 의복/직물,인천_ 복식잡화,인천_ 시계/귀금속/안경,인천_ 화장품,인천_연료,인천_가구/가전,인천_ 가구,인천_ 가전제품/정보통신기기,인천_의료/보건,인천_ 종합병원,인천_ 일반병의원/기타의료기관,인천_자동차,인천_ 국산자동차신품,인천_ 기타운송수단,인천_ 자동차 부품 및 정비,인천_여행/교통,인천_ 여행사/자동차임대,인천_ 항공사,인천_ 대중교통,인천_오락/문화,인천_ 스포츠/오락/여가,인천_ 서적/문구,인천_교육,인천_숙박/음식,인천_ 숙박,인천_ 음식점,인천_공과금/개인 및 전문 서비스,인천_금융/보험,인천_기타
10299.72,2830.05,536.19,1278.31,448.36,81.63,485.56,28.17,276.67,247.1,29.56,624.1,369.84,91.32,60.26,102.68,1648.95,324.58,51.39,273.2,909.92,249.74,660.18,309.93,2.0,17.34,290.59,83.13,3.95,7.28,71.9,490.71,437.77,52.95,456.84,1518.33,103.39,1414.94,320.87,2.68,474.79
10514.57,3034.17,562.88,1459.08,470.53,81.61,460.06,29.29,279.85,255.34,24.5,614.71,348.77,94.96,63.45,107.54,1616.99,259.33,46.04,213.29,893.41,243.35,650.06,318.88,3.28,12.9,302.7,83.87,4.23,8.28,71.36,458.45,399.57,58.87,433.15,1712.48,107.82,1604.66,315.16,2.09,462.73
10161.68,2805.31,426.47,1282.86,498.88,82.91,514.18,26.99,284.29,255.45,28.84,495.48,268.27,62.52,65.29,99.4,1593.02,226.86,42.01,184.85,1061.67,274.51,787.16,290.97,2.6,14.34,274.03,117.69,5.01,8.2,104.48,402.64,345.67,56.97,444.94,1587.81,104.7,1483.11,324.99,1.83,497.2
9111.58,2533.81,359.08,1231.02,461.13,78.61,403.97,23.55,321.26,289.29,31.97,455.31,244.11,59.11,61.87,90.22,1447.8,230.1,44.34,185.76,904.18,235.6,668.58,252.09,2.55,15.62,233.93,105.64,4.6,7.93,93.1,365.75,313.82,51.93,395.08,1333.16,82.71,1250.45,291.72,2.22,449.89
10286.47,2612.34,403.67,1223.36,462.24,89.37,433.7,25.59,272.05,242.28,29.78,564.72,288.74,90.84,76.62,108.53,1630.81,341.45,59.37,282.08,992.98,258.84,734.13,301.28,2.14,23.22,275.92,107.13,4.38,8.38,94.37,512.2,415.71,96.49,454.34,1614.78,90.17,1524.61,328.95,3.27,524.57
10219.55,2738.23,429.12,1269.71,491.34,90.71,457.35,26.42,275.55,248.52,27.03,554.15,286.64,88.41,75.75,103.35,1575.52,300.39,57.21,243.18,974.6,263.45,711.15,303.3,2.59,30.16,270.55,113.74,4.25,8.04,101.44,485.5,417.74,67.76,410.9,1616.97,92.35,1524.62,332.03,3.29,508.97
10856.92,2882.37,430.97,1356.49,523.63,99.82,471.47,27.45,315.54,281.46,34.08,636.43,353.95,89.09,84.23,109.16,1574.63,376.84,56.7,320.14,999.36,270.24,729.13,346.06,4.42,37.43,304.21,121.1,4.43,9.46,107.22,532.43,474.4,58.03,429.59,1743.06,95.24,1647.82,337.12,2.71,532.22
10258.79,2710.54,360.73,1260.67,537.31,99.6,452.22,24.62,284.98,255.16,29.82,549.95,297.62,76.14,77.88,98.32,1561.99,372.29,54.74,317.55,910.75,256.77,653.98,351.15,5.7,34.7,310.75,117.19,4.91,7.26,105.02,470.82,419.14,51.68,416.87,1641.25,92.42,1548.83,325.61,2.53,518.24
10725.8,2931.95,362.06,1420.75,548.14,112.59,488.41,29.6,273.22,245.97,27.26,498.11,250.03,68.17,76.99,102.91,1613.03,359.21,50.23,308.98,979.51,279.69,699.82,357.94,5.26,34.84,317.84,122.74,6.14,9.6,107.0,459.15,399.24,59.92,433.32,1779.68,100.77,1678.9,337.45,2.8,548.09
10547.25,2723.78,297.37,1291.44,553.56,113.48,467.93,28.16,284.9,256.01,28.9,423.98,199.18,53.53,78.95,92.32,1727.44,342.73,52.3,290.43,976.56,269.83,706.73,367.41,4.36,33.16,329.89,129.8,6.4,7.93,115.48,429.57,372.59,56.99,425.98,1816.49,116.82,1699.67,330.52,2.34,537.58
10270.88,2928.15,382.61,1436.06,569.83,112.56,427.09,28.2,411.87,366.8,45.08,491.58,268.15,62.87,68.92,91.65,1575.89,251.22,53.83,197.39,855.84,229.3,626.54,305.08,2.89,31.32,270.87,127.91,6.58,9.04,112.28,459.84,400.75,59.09,403.63,1607.75,93.86,1513.89,308.19,1.89,513.83
10784.35,2766.17,430.18,1228.35,525.33,112.95,469.37,28.03,325.21,285.98,39.23,609.72,353.14,79.94,71.77,104.87,1664.58,282.13,63.68,218.45,996.7,264.33,732.37,355.29,3.19,35.79,316.31,138.4,7.06,8.19,123.15,518.72,464.57,54.16,428.65,1749.07,108.65,1640.42,342.54,2.83,576.31
10581.46,2774.96,484.11,1256.93,512.65,102.03,419.25,26.68,302.04,271.87,30.17,641.88,386.57,91.51,64.39,99.41,1635.59,353.9,58.18,295.72,939.6,258.36,681.24,355.58,2.88,27.57,325.13,129.49,6.35,7.9,115.24,512.75,460.69,52.06,443.08,1583.16,98.12,1485.04,323.87,2.84,556.04
10860.02,2927.13,503.35,1357.32,534.91,105.48,426.07,32.56,299.09,273.43,25.67,636.76,370.9,93.19,69.08,103.59,1635.43,262.7,53.62,209.09,974.81,274.02,700.79,345.51,4.79,24.27,316.46,129.98,6.45,9.96,113.56,506.18,443.46,62.72,340.69,1868.29,110.95,1757.34,326.51,2.2,572.17
10154.34,2669.28,367.18,1233.26,557.55,94.54,416.75,32.18,401.61,363.59,38.02,501.76,272.53,62.38,69.87,96.98,1548.35,230.18,50.36,179.83,1047.11,275.56,771.56,311.98,2.76,24.88,284.33,127.38,4.94,7.58,114.87,413.05,353.69,59.36,367.42,1631.93,91.53,1540.4,327.26,2.48,542.37
