전남_합계,전남_종합소매,전남_ 백화점,전남_ 대형마트/유통전문점,전남_ 슈퍼마켓,전남_ 편의점,전남_ 면세점,전남_전자상거래/통신판매,전남_식료품,전남_ 일반식료품,전남_ 건강보조식품,전남_의류/잡화,전남_ 의복/직물,전남_ 복식잡화,전남_ 시계/귀금속/안경,전남_ 화장품,전남_연료,전남_가구/가전,전남_ 가구,전남_ 가전제품/정보통신기기,전남_의료/보건,전남_ 종합병원,전남_ 일반병의원/기타의료기관,전남_자동차,전남_ 국산자동차신품,전남_ 기타운송수단,전남_ 자동차 부품 및 정비,전남_여행/교통,전남_ 여행사/자동차임대,전남_ 항공사,전남_ 대중교통,전남_오락/문화,전남_ 스포츠/오락/여가,전남_ 서적/문구,전남_교육,전남_숙박/음식,전남_ 숙박,전남_ 음식점,전남_공과금/개인 및 전문 서비스,전남_금융/보험,전남_기타
5148.08,844.26,79.19,554.29,178.41,32.33,0.04,7.97,188.52,179.96,8.56,319.48,228.69,19.97,27.44,43.38,1303.89,166.86,20.47,146.39,371.27,106.96,264.31,191.2,0.36,6.83,184.0,6.6,3.43,0.0,3.16,442.24,415.88,26.35,133.81,805.11,49.88,755.23,87.15,0.11,279.63
5133.3,928.7,82.81,627.4,187.98,30.49,0.02,8.97,190.93,183.01,7.92,316.87,220.51,20.41,27.91,48.04,1285.71,168.97,17.64,151.33,364.46,103.23,261.23,201.1,0.21,6.49,194.4,4.58,2.37,0.0,2.21,359.08,326.41,32.66,111.53,825.19,48.66,776.54,84.84,0.11,282.27
4890.77,841.52,53.73,562.7,194.62,30.37,0.1,7.75,210.6,200.67,9.94,259.34,171.91,14.74,30.09,42.6,1249.86,130.15,18.27,111.88,430.45,118.93,311.52,183.05,0.23,6.19,176.63,4.91,2.41,0.0,2.5,281.63,250.41,31.23,123.27,800.6,52.72,747.88,92.93,0.13,274.58
4566.48,877.21,50.5,600.3,196.62,29.74,0.05,6.9,260.59,247.41,13.19,234.78,154.04,13.04,28.48,39.23,1170.21,136.09,15.59,120.5,363.58,98.42,265.16,153.13,0.41,5.86,146.86,4.55,2.01,0.04,2.5,257.96,233.12,24.84,108.68,662.31,38.73,623.58,80.88,0.08,249.53
5121.19,845.26,62.53,557.84,191.63,33.22,0.04,7.58,188.8,179.27,9.53,291.56,191.14,18.66,34.53,47.24,1295.25,167.29,22.06,145.23,401.82,112.52,289.3,182.24,0.37,9.22,172.66,6.21,2.9,0.04,3.27,397.22,340.49,56.73,118.18,834.37,50.07,784.3,95.9,0.14,289.38
5102.86,887.57,64.51,588.02,200.9,34.09,0.05,7.78,198.63,189.35,9.28,285.46,187.11,18.38,34.82,45.14,1246.3,153.06,21.54,131.52,392.14,110.19,281.95,175.72,0.29,8.77,166.66,6.35,2.97,0.0,3.38,392.33,354.48,37.85,110.3,859.34,52.81,806.53,92.1,0.25,295.53
5518.73,980.37,64.83,652.24,225.07,38.17,0.05,8.11,230.81,218.07,12.74,357.72,248.93,21.46,38.09,49.24,1211.2,197.73,20.37,177.36,399.86,112.52,287.35,195.19,0.37,9.59,185.23,8.14,4.12,0.0,4.02,439.68,412.49,27.19,108.68,965.94,61.19,904.75,101.47,0.15,313.68
4999.95,915.5,42.39,612.45,224.64,36.0,0.02,7.13,203.85,195.35,8.5,265.04,169.37,19.89,33.16,42.62,1141.34,196.35,19.3,177.05,374.77,107.79,266.98,192.41,0.32,9.01,183.08,7.07,3.53,0.0,3.55,358.37,333.1,25.27,108.92,847.79,54.3,793.49,91.88,0.16,289.36
5453.91,1050.93,47.78,717.68,244.02,41.41,0.05,8.13,208.4,199.83,8.57,262.22,162.36,20.13,36.78,42.95,1200.96,241.57,20.39,221.18,413.27,119.07,294.2,202.04,0.37,9.96,191.71,7.12,3.59,0.0,3.53,370.77,340.83,29.94,113.6,972.38,65.2,907.18,98.64,0.12,303.77
5659.14,1033.21,34.91,688.04,266.08,44.11,0.06,7.54,257.88,248.95,8.93,199.29,109.37,14.7,35.87,39.34,1326.04,216.09,18.06,198.03,422.93,119.13,303.79,203.45,0.31,7.88,195.27,12.24,5.73,0.02,6.49,357.68,330.25,27.43,122.78,1106.95,102.02,1004.94,99.01,0.13,293.93
5290.07,1091.11,54.28,729.13,265.72,41.96,0.02,7.78,344.78,327.46,17.32,275.27,185.15,18.5,30.47,41.16,1203.17,132.64,19.48,113.16,359.18,100.81,258.38,176.58,0.11,8.58,167.88,6.95,3.21,0.0,3.74,350.78,320.97,29.82,104.33,839.15,53.5,785.65,95.33,0.11,302.88
5193.85,878.24,65.26,558.99,213.13,40.82,0.04,8.1,202.84,194.23,8.61,313.06,214.15,20.41,32.54,45.96,1197.24,140.94,21.8,119.14,408.03,112.6,295.43,196.24,0.2,9.17,186.87,8.15,4.37,0.0,3.78,425.82,400.92,24.9,112.23,906.62,58.43,848.19,95.8,0.13,300.41
5119.82,855.5,71.73,549.44,198.27,36.01,0.05,7.42,193.71,186.17,7.54,337.53,245.87,20.15,29.17,42.33,1207.22,161.42,19.99,141.43,391.47,107.51,283.97,196.43,0.21,6.28,189.94,6.3,3.05,0.0,3.25,438.65,413.77,24.88,112.63,829.52,52.22,777.3,95.79,0.13,286.12
5331.72,947.49,76.43,622.63,212.73,35.67,0.03,8.79,206.91,199.47,7.44,328.45,229.34,21.61,30.28,47.22,1254.25,180.66,21.03,159.63,410.49,114.54,295.96,196.81,0.16,6.38,190.27,5.15,2.49,0.0,2.66,377.97,345.51,32.46,113.05,898.86,54.61,844.25,97.12,0.17,305.55
5037.42,914.7,52.46,598.52,230.94,32.7,0.07,8.0,316.86,302.35,14.51,259.22,170.46,14.93,30.91,42.91,1188.63,134.8,20.21,114.58,436.69,113.85,322.84,177.38,0.13,6.1,171.15,5.18,2.4,0.02,2.76,280.21,250.93,29.28,117.44,813.07,51.85,761.22,99.38,0.12,285.75
4497.25,817.84,69.3,527.65,186.61,32.6,1.68,49.99,174.56,167.06,7.5,239.31,156.67,13.37,29.9,39.37,1066.88,138.26,21.45,116.81,400.09,107.01,293.08,153.03,8.62,5.93,138.47,10.01,3.12,2.05,4.85,256.18,229.93,26.25,116.96,707.9,42.26,665.64,101.72,17.03,247.48
5056.64,880.09,58.37,572.28,213.25,36.14,0.05,8.78,200.89,192.52,8.37,286.96,188.96,18.93,35.86,43.21,1172.79,168.74,26.8,141.94,415.13,109.94,305.2,170.71,0.18,7.85,162.69,6.18,2.71,0.03,3.43,375.61,318.07,57.54,115.77,866.95,48.32,818.63,100.69,0.15,287.21
4929.16,848.46,52.22,541.37,217.39,37.41,0.07,8.02,203.42,195.37,8.05,289.19,193.34,19.02,34.23,42.6,1125.88,133.4,21.56,111.84,401.5,108.69,292.81,182.61,0.41,9.01,173.19,6.76,2.91,0.01,3.83,353.07,323.75,29.32,106.97,847.42,52.02,795.39,96.28,0.27,325.92
5422.25,965.74,56.48,621.6,245.67,41.92,0.06,8.49,244.22,232.25,11.97,324.96,218.72,21.21,37.69,47.33,1163.66,176.69,22.84,153.85,396.53,106.06,290.47,189.82,0.16,9.98,179.68,8.67,3.58,0.0,5.09,387.65,360.29,27.36,108.41,993.31,60.55,932.77,108.85,0.26,344.98
5096.13,970.8,44.52,626.67,257.12,42.43,0.06,8.17,212.31,204.78,7.54,262.04,164.78,20.3,35.42,41.53,1081.48,188.14,21.88,166.26,380.63,102.64,277.99,181.39,0.22,9.55,171.63,7.65,3.26,0.0,4.39,342.35,318.19,24.16,107.16,921.68,57.91,863.77,98.7,0.2,333.45
