전북_합계,전북_종합소매,전북_ 백화점,전북_ 대형마트/유통전문점,전북_ 슈퍼마켓,전북_ 편의점,전북_ 면세점,전북_전자상거래/통신판매,전북_식료품,전북_ 일반식료품,전북_ 건강보조식품,전북_의류/잡화,전북_ 의복/직물,전북_ 복식잡화,전북_ 시계/귀금속/안경,전북_ 화장품,전북_연료,전북_가구/가전,전북_ 가구,전북_ 가전제품/정보통신기기,전북_의료/보건,전북_ 종합병원,전북_ 일반병의원/기타의료기관,전북_자동차,전북_ 국산자동차신품,전북_ 기타운송수단,전북_ 자동차 부품 및 정비,전북_여행/교통,전북_ 여행사/자동차임대,전북_ 항공사,전북_ 대중교통,전북_오락/문화,전북_ 스포츠/오락/여가,전북_ 서적/문구,전북_교육,전북_숙박/음식,전북_ 숙박,전북_ 음식점,전북_공과금/개인 및 전문 서비스,전북_금융/보험,전북_기타,전남_합계,전남_종합소매,전남_ 백화점,전남_ 대형마트/유통전문점,전남_ 슈퍼마켓,전남_ 편의점,전남_ 면세점,전남_전자상거래/통신판매,전남_식료품,전남_ 일반식료품,전남_ 건강보조식품,전남_의류/잡화,전남_ 의복/직물,전남_ 복식잡화,전남_ 시계/귀금속/안경,전남_ 화장품,전남_연료,전남_가구/가전,전남_ 가구,전남_ 가전제품/정보통신기기,전남_의료/보건,전남_ 종합병원,전남_ 일반병의원/기타의료기관,전남_자동차,전남_ 국산자동차신품,전남_ 기타운송수단,전남_ 자동차 부품 및 정비,전남_여행/교통,전남_ 여행사/자동차임대,전남_ 항공사,전남_ 대중교통,전남_오락/문화,전남_ 스포츠/오락/여가,전남_ 서적/문구,전남_교육,전남_숙박/음식,전남_ 숙박,전남_ 음식점,전남_공과금/개인 및 전문 서비스,전남_금융/보험,전남_기타
6230.83,1099.92,221.32,599.68,238.79,40.13,0.01,9.81,189.6,174.08,15.52,441.42,317.17,30.32,37.39,56.54,1449.83,220.95,22.89,198.07,556.03,142.83,413.21,219.3,3.4,11.43,204.47,63.95,4.54,56.84,2.57,454.52,415.87,38.66,175.29,896.83,44.62,852.21,154.02,0.81,298.54,5148.08,844.26,79.19,554.29,178.41,32.33,0.04,7.97,188.52,179.96,8.56,319.48,228.69,19.97,27.44,43.38,1303.89,166.86,20.47,146.39,371.27,106.96,264.31,191.2,0.36,6.83,184.0,6.6,3.43,0.0,3.16,442.24,415.88,26.35,133.81,805.11,49.88,755.23,87.15,0.11,279.63
6300.67,1219.21,236.43,692.0,251.72,39.05,0.01,11.17,178.27,165.5,12.77,438.94,308.98,34.54,36.25,59.18,1391.59,183.64,22.11,161.54,545.92,135.41,410.52,241.67,1.33,10.08,230.26,56.68,3.94,50.6,2.14,420.22,373.2,47.01,155.26,1000.63,67.81,932.83,156.39,0.71,300.36,5133.3,928.7,82.81,627.4,187.98,30.49,0.02,8.97,190.93,183.01,7.92,316.87,220.51,20.41,27.91,48.04,1285.71,168.97,17.64,151.33,364.46,103.23,261.23,201.1,0.21,6.49,194.4,4.58,2.37,0.0,2.21,359.08,326.41,32.66,111.53,825.19,48.66,776.54,84.84,0.11,282.27
5979.45,1090.54,171.5,620.2,260.26,38.57,0.01,9.86,184.55,169.84,14.7,330.15,213.88,21.44,39.38,55.45,1342.77,148.19,19.67,128.52,642.13,161.89,480.24,203.59,1.42,8.73,193.45,72.1,3.37,66.36,2.37,360.75,315.84,44.91,168.13,951.56,92.7,858.86,180.55,0.93,293.67,4890.77,841.52,53.73,562.7,194.62,30.37,0.1,7.75,210.6,200.67,9.94,259.34,171.91,14.74,30.09,42.6,1249.86,130.15,18.27,111.88,430.45,118.93,311.52,183.05,0.23,6.19,176.63,4.91,2.41,0.0,2.5,281.63,250.41,31.23,123.27,800.6,52.72,747.88,92.93,0.13,274.58
5522.59,1085.01,151.41,641.63,255.88,36.07,0.02,10.01,219.06,198.49,20.57,306.4,200.51,18.03,36.56,51.29,1262.39,155.58,20.63,134.95,561.25,139.16,422.09,174.44,2.13,9.36,162.95,67.72,3.02,62.8,1.9,300.17,263.25,36.92,205.59,773.92,52.55,721.37,131.74,0.55,268.76,4566.48,877.21,50.5,600.3,196.62,29.74,0.05,6.9,260.59,247.41,13.19,234.78,154.04,13.04,28.48,39.23,1170.21,136.09,15.59,120.5,363.58,98.42,265.16,153.13,0.41,5.86,146.86,4.55,2.01,0.04,2.5,257.96,233.12,24.84,108.68,662.31,38.73,623.58,80.88,0.08,249.53
6068.88,1051.54,171.54,589.39,250.02,40.57,0.01,10.63,176.0,161.02,14.98,384.73,251.09,27.72,46.32,59.6,1396.41,204.33,25.81,178.51,594.55,146.91,447.64,208.79,2.51,14.49,191.79,96.04,3.66,90.1,2.28,412.43,335.93,76.51,171.59,897.18,42.28,854.91,152.41,0.89,311.36,5121.19,845.26,62.53,557.84,191.63,33.22,0.04,7.58,188.8,179.27,9.53,291.56,191.14,18.66,34.53,47.24,1295.25,167.29,22.06,145.23,401.82,112.52,289.3,182.24,0.37,9.22,172.66,6.21,2.9,0.04,3.27,397.22,340.49,56.73,118.18,834.37,50.07,784.3,95.9,0.14,289.38
5963.79,1098.65,183.57,611.66,261.79,41.62,0.01,10.46,182.41,168.13,14.27,372.02,242.26,27.42,45.85,56.49,1358.75,177.58,24.04,153.53,575.48,148.1,427.38,202.59,2.5,15.33,184.75,85.85,4.08,79.64,2.13,394.0,341.35,52.65,148.84,902.7,39.19,863.51,145.46,1.01,308.0,5102.86,887.57,64.51,588.02,200.9,34.09,0.05,7.78,198.63,189.35,9.28,285.46,187.11,18.38,34.82,45.14,1246.3,153.06,21.54,131.52,392.14,110.19,281.95,175.72,0.29,8.77,166.66,6.35,2.97,0.0,3.38,392.33,354.48,37.85,110.3,859.34,52.81,806.53,92.1,0.25,295.53
6401.99,1193.02,178.88,672.42,295.48,46.23,0.02,10.78,206.95,188.16,18.79,449.62,303.15,33.48,50.7,62.3,1366.15,222.93,21.88,201.06,585.6,148.25,437.34,227.51,2.6,14.74,210.18,74.96,4.29,68.51,2.16,436.75,394.81,41.94,151.96,982.39,44.3,938.09,157.58,0.67,335.11,5518.73,980.37,64.83,652.24,225.07,38.17,0.05,8.11,230.81,218.07,12.74,357.72,248.93,21.46,38.09,49.24,1211.2,197.73,20.37,177.36,399.86,112.52,287.35,195.19,0.37,9.59,185.23,8.14,4.12,0.0,4.02,439.68,412.49,27.19,108.68,965.94,61.19,904.75,101.47,0.15,313.68
5898.99,1112.61,145.86,614.88,307.13,44.73,0.01,9.26,177.23,163.87,13.36,355.76,226.44,31.21,43.93,54.18,1291.07,223.46,22.92,200.54,549.49,140.0,409.49,226.98,1.63,14.47,210.87,79.22,3.25,73.94,2.02,355.98,318.64,37.34,149.59,892.81,41.91,850.9,155.88,0.75,318.89,4999.95,915.5,42.39,612.45,224.64,36.0,0.02,7.13,203.85,195.35,8.5,265.04,169.37,19.89,33.16,42.62,1141.34,196.35,19.3,177.05,374.77,107.79,266.98,192.41,0.32,9.01,183.08,7.07,3.53,0.0,3.55,358.37,333.1,25.27,108.92,847.79,54.3,793.49,91.88,0.16,289.36
6363.58,1255.01,158.61,721.09,325.94,49.35,0.01,10.98,185.88,170.28,15.6,338.67,205.4,28.21,47.2,57.86,1356.36,266.85,20.84,246.01,591.24,156.91,434.33,231.86,2.48,14.32,215.06,98.8,3.92,92.48,2.41,340.46,296.0,44.47,157.45,1010.21,55.43,954.79,173.94,0.73,345.14,5453.91,1050.93,47.78,717.68,244.02,41.41,0.05,8.13,208.4,199.83,8.57,262.22,162.36,20.13,36.78,42.95,1200.96,241.57,20.39,221.18,413.27,119.07,294.2,202.04,0.37,9.96,191.71,7.12,3.59,0.0,3.53,370.77,340.83,29.94,113.6,972.38,65.2,907.18,98.64,0.12,303.77
6375.91,1203.29,126.17,681.93,343.64,51.54,0.01,10.21,216.01,199.95,16.06,263.94,145.6,20.67,46.51,51.15,1456.86,239.86,21.94,217.92,588.81,149.05,439.77,233.63,1.37,14.96,217.3,84.31,4.24,77.5,2.58,297.5,256.67,40.83,213.06,1083.19,72.96,1010.23,153.54,0.48,331.22,5659.14,1033.21,34.91,688.04,266.08,44.11,0.06,7.54,257.88,248.95,8.93,199.29,109.37,14.7,35.87,39.34,1326.04,216.09,18.06,198.03,422.93,119.13,303.79,203.45,0.31,7.88,195.27,12.24,5.73,0.02,6.49,357.68,330.25,27.43,122.78,1106.95,102.02,1004.94,99.01,0.13,293.93
6188.77,1307.2,181.87,733.63,340.42,51.26,0.02,10.4,298.84,267.72,31.12,355.08,234.33,26.96,40.59,53.2,1357.31,162.24,22.99,139.25,519.71,126.96,392.74,210.04,2.39,14.95,192.71,62.08,3.1,56.76,2.22,362.23,317.91,44.32,158.04,898.99,41.39,857.6,150.07,0.66,335.88,5290.07,1091.11,54.28,729.13,265.72,41.96,0.02,7.78,344.78,327.46,17.32,275.27,185.15,18.5,30.47,41.16,1203.17,132.64,19.48,113.16,359.18,100.81,258.38,176.58,0.11,8.58,167.88,6.95,3.21,0.0,3.74,350.78,320.97,29.82,104.33,839.15,53.5,785.65,95.33,0.11,302.88
6246.93,1085.35,186.78,570.92,277.39,50.25,0.02,10.35,202.72,184.65,18.06,422.34,289.72,30.28,43.04,59.3,1389.48,180.41,26.94,153.47,586.32,144.34,441.97,229.64,2.82,14.55,212.26,75.48,3.93,68.54,3.01,434.57,397.12,37.45,153.53,960.86,45.69,915.17,169.33,0.55,346.02,5193.85,878.24,65.26,558.99,213.13,40.82,0.04,8.1,202.84,194.23,8.61,313.06,214.15,20.41,32.54,45.96,1197.24,140.94,21.8,119.14,408.03,112.6,295.43,196.24,0.2,9.17,186.87,8.15,4.37,0.0,3.78,425.82,400.92,24.9,112.23,906.62,58.43,848.19,95.8,0.13,300.41
6286.48,1109.53,215.05,580.56,266.95,46.95,0.01,10.05,207.65,191.57,16.08,443.26,322.84,28.48,37.68,54.26,1399.37,222.11,23.92,198.18,550.06,136.97,413.1,246.21,5.3,12.1,228.81,85.45,3.61,79.09,2.76,443.86,406.64,37.22,149.39,927.06,46.05,881.01,152.47,0.79,339.22,5119.82,855.5,71.73,549.44,198.27,36.01,0.05,7.42,193.71,186.17,7.54,337.53,245.87,20.15,29.17,42.33,1207.22,161.42,19.99,141.43,391.47,107.51,283.97,196.43,0.21,6.28,189.94,6.3,3.05,0.0,3.25,438.65,413.77,24.88,112.63,829.52,52.22,777.3,95.79,0.13,286.12
6536.47,1208.46,225.13,657.65,278.1,47.56,0.02,10.97,198.73,183.39,15.34,437.13,308.4,29.88,40.73,58.12,1401.34,190.73,25.01,165.72,584.89,146.87,438.02,242.79,4.79,11.93,226.07,91.6,3.31,85.82,2.47,431.76,385.9,45.86,150.56,1077.43,71.74,1005.69,163.7,0.71,345.66,5331.72,947.49,76.43,622.63,212.73,35.67,0.03,8.79,206.91,199.47,7.44,328.45,229.34,21.61,30.28,47.22,1254.25,180.66,21.03,159.63,410.49,114.54,295.96,196.81,0.16,6.38,190.27,5.15,2.49,0.0,2.66,377.97,345.51,32.46,113.05,898.86,54.61,844.25,97.12,0.17,305.55
6187.07,1150.84,165.37,633.41,309.54,42.49,0.02,10.54,280.67,253.55,27.12,331.27,215.22,19.05,41.47,55.53,1324.68,162.2,21.42,140.79,616.72,150.44,466.28,210.08,4.64,10.66,194.78,87.59,2.9,82.36,2.33,352.6,307.15,45.45,160.99,971.76,86.26,885.5,186.87,0.77,339.48,5037.42,914.7,52.46,598.52,230.94,32.7,0.07,8.0,316.86,302.35,14.51,259.22,170.46,14.93,30.91,42.91,1188.63,134.8,20.21,114.58,436.69,113.85,322.84,177.38,0.13,6.1,171.15,5.18,2.4,0.02,2.76,280.21,250.93,29.28,117.44,813.07,51.85,761.22,99.38,0.12,285.75
5622.45,986.97,156.19,544.42,241.11,41.87,3.38,91.3,166.24,152.14,14.09,310.11,199.95,18.1,40.51,51.55,1199.91,162.02,25.48,136.54,585.85,145.02,440.83,186.51,17.73,12.09,156.69,87.26,4.93,76.97,5.36,311.05,271.56,39.5,199.05,837.08,55.41,781.67,176.68,24.03,298.41,4497.25,817.84,69.3,527.65,186.61,32.6,1.68,49.99,174.56,167.06,7.5,239.31,156.67,13.37,29.9,39.37,1066.88,138.26,21.45,116.81,400.09,107.01,293.08,153.03,8.62,5.93,138.47,10.01,3.12,2.05,4.85,256.18,229.93,26.25,116.96,707.9,42.26,665.64,101.72,17.03,247.48
