제주_합계,제주_종합소매,제주_ 백화점,제주_ 대형마트/유통전문점,제주_ 슈퍼마켓,제주_ 편의점,제주_ 면세점,제주_전자상거래/통신판매,제주_식료품,제주_ 일반식료품,제주_ 건강보조식품,제주_의류/잡화,제주_ 의복/직물,제주_ 복식잡화,제주_ 시계/귀금속/안경,제주_ 화장품,제주_연료,제주_가구/가전,제주_ 가구,제주_ 가전제품/정보통신기기,제주_의료/보건,제주_ 종합병원,제주_ 일반병의원/기타의료기관,제주_자동차,제주_ 국산자동차신품,제주_ 기타운송수단,제주_ 자동차 부품 및 정비,제주_여행/교통,제주_ 여행사/자동차임대,제주_ 항공사,제주_ 대중교통,제주_오락/문화,제주_ 스포츠/오락/여가,제주_ 서적/문구,제주_교육,제주_숙박/음식,제주_ 숙박,제주_ 음식점,제주_공과금/개인 및 전문 서비스,제주_금융/보험,제주_기타
2995.43,688.73,0.0,297.41,134.51,26.83,229.98,59.54,146.73,134.08,12.66,165.9,111.59,15.31,10.87,28.13,358.64,65.72,10.14,55.57,158.9,41.1,117.8,61.53,0.05,3.67,57.81,134.09,24.18,104.88,5.04,242.19,226.29,15.9,67.73,570.82,120.83,449.99,63.44,0.41,211.05
2886.96,651.24,0.0,319.38,135.5,24.08,172.28,53.25,119.95,107.77,12.19,167.06,109.65,16.12,11.68,29.61,373.01,71.65,11.12,60.52,148.92,39.24,109.68,67.17,0.06,3.38,63.73,127.34,22.9,100.92,3.52,196.31,178.92,17.4,61.25,575.88,112.03,463.85,61.5,0.63,211.77
3008.62,687.2,0.0,305.06,143.34,24.3,214.51,70.62,134.95,122.97,11.99,138.54,85.88,13.19,12.15,27.33,382.78,88.34,18.66,69.68,174.36,44.06,130.3,59.95,0.04,3.02,56.89,155.61,24.8,125.84,4.97,177.53,158.65,18.88,69.54,589.43,121.24,468.19,68.59,0.56,210.62
2648.68,628.94,0.0,296.07,134.92,23.17,174.79,62.56,128.55,115.73,12.83,139.59,90.51,13.06,11.31,24.71,332.33,70.72,15.83,54.89,146.57,36.65,109.93,50.03,0.03,3.95,46.05,130.5,21.78,104.52,4.19,155.74,140.62,15.12,70.41,485.85,94.03,391.82,60.3,0.46,186.12
2838.6,633.69,0.0,284.54,130.12,24.63,194.4,55.57,135.08,122.96,12.12,152.13,94.05,16.2,13.87,28.01,348.02,75.78,13.8,61.99,163.56,43.43,120.13,58.82,0.1,4.49,54.24,120.96,21.5,94.82,4.64,208.25,177.73,30.52,76.03,536.52,99.52,437.0,65.42,0.69,208.1
2897.65,687.6,0.0,305.39,121.93,27.24,233.04,67.75,150.98,142.43,8.56,138.16,83.12,15.51,13.42,26.1,333.06,63.54,12.14,51.4,153.0,44.23,108.77,55.08,0.06,4.05,50.98,137.88,27.24,104.29,6.34,213.06,191.27,21.79,68.23,573.85,119.96,453.89,61.24,0.63,193.57
3253.1,771.98,0.0,346.77,142.3,31.69,251.22,72.63,159.05,150.87,8.18,174.55,111.18,18.02,15.03,30.32,338.36,76.55,11.58,64.97,175.24,51.14,124.1,64.01,0.15,4.95,58.9,157.72,32.98,116.3,8.43,247.08,231.7,15.38,63.26,668.72,144.45,524.27,67.44,0.36,216.16
2958.99,717.78,0.0,328.75,138.31,30.87,219.84,66.93,140.18,134.23,5.95,132.97,79.41,15.0,12.69,25.88,314.36,81.73,10.98,70.75,160.78,48.08,112.7,61.19,0.15,4.04,57.0,145.09,32.1,106.52,6.48,199.65,185.71,13.94,60.85,606.4,122.49,483.92,62.09,0.58,208.4
3314.0,822.83,0.0,405.51,160.04,39.38,217.9,60.51,124.81,119.48,5.33,136.73,76.27,16.47,15.42,28.56,366.96,105.84,10.49,95.35,176.27,53.04,123.23,69.84,0.54,4.32,64.99,173.75,50.59,115.32,7.85,206.48,188.87,17.62,65.44,724.32,163.87,560.45,67.66,0.53,212.02
3461.87,850.4,0.0,385.08,164.88,41.71,258.73,52.95,139.54,134.5,5.05,109.25,52.22,14.8,14.71,27.53,379.84,86.93,11.51,75.43,174.07,51.12,122.95,67.71,0.28,4.74,62.7,183.58,70.06,102.94,10.58,212.81,195.18,17.63,84.23,836.11,218.4,617.71,71.42,0.48,212.53
