충남_합계,충남_종합소매,충남_ 백화점,충남_ 대형마트/유통전문점,충남_ 슈퍼마켓,충남_ 편의점,충남_ 면세점,충남_전자상거래/통신판매,충남_식료품,충남_ 일반식료품,충남_ 건강보조식품,충남_의류/잡화,충남_ 의복/직물,충남_ 복식잡화,충남_ 시계/귀금속/안경,충남_ 화장품,충남_연료,충남_가구/가전,충남_ 가구,충남_ 가전제품/정보통신기기,충남_의료/보건,충남_ 종합병원,충남_ 일반병의원/기타의료기관,충남_자동차,충남_ 국산자동차신품,충남_ 기타운송수단,충남_ 자동차 부품 및 정비,충남_여행/교통,충남_ 여행사/자동차임대,충남_ 항공사,충남_ 대중교통,충남_오락/문화,충남_ 스포츠/오락/여가,충남_ 서적/문구,충남_교육,충남_숙박/음식,충남_ 숙박,충남_ 음식점,충남_공과금/개인 및 전문 서비스,충남_금융/보험,충남_기타
7738.53,1423.49,146.82,848.12,355.27,73.28,0.0,22.86,287.79,251.73,36.06,415.89,275.92,24.83,35.82,79.31,1974.29,272.55,24.36,248.2,515.49,111.3,404.2,274.03,0.45,11.1,262.48,3.65,2.48,0.11,1.07,438.53,401.15,37.38,312.49,1172.45,69.31,1103.13,151.24,0.88,472.9
7779.27,1553.25,156.03,962.67,361.9,72.64,0.0,25.03,238.64,213.7,24.94,438.76,266.59,27.18,36.04,108.95,1886.75,230.36,21.23,209.13,499.49,109.53,389.96,317.83,0.25,10.83,306.75,2.88,2.23,0.1,0.55,371.34,328.76,42.59,298.48,1248.0,77.32,1170.68,150.27,0.75,517.43
7436.22,1462.52,132.81,896.48,366.66,66.56,0.0,21.4,259.45,225.17,34.29,393.64,221.86,18.84,39.97,112.97,1822.73,189.55,19.74,169.81,572.34,123.25,449.08,247.25,0.15,9.43,237.67,2.25,1.58,0.13,0.53,310.99,271.54,39.45,283.5,1176.59,77.71,1098.88,151.7,0.67,541.65
6864.34,1433.29,107.76,907.95,356.07,61.52,0.0,18.93,286.18,249.57,36.61,352.97,199.77,15.58,35.94,101.68,1692.51,198.79,22.13,176.66,491.75,106.5,385.25,211.23,0.15,8.47,202.61,2.3,1.61,0.1,0.59,270.85,236.0,34.85,265.63,999.58,59.42,940.17,137.93,1.02,501.38
7974.05,1446.78,118.6,878.72,373.89,75.56,0.0,22.36,265.14,228.91,36.23,419.99,233.55,22.94,46.88,116.63,1926.02,368.99,29.3,339.69,553.05,116.3,436.75,259.34,0.24,14.0,245.09,4.31,3.15,0.09,1.07,420.75,345.15,75.6,281.34,1251.69,69.32,1182.37,166.38,1.32,586.6
7920.25,1514.12,131.72,921.85,383.17,77.38,0.0,22.81,274.19,237.13,37.06,419.06,237.47,23.06,45.27,113.26,1889.14,302.58,26.39,276.19,541.4,116.63,424.77,247.49,0.21,14.55,232.73,4.47,2.8,0.14,1.53,410.91,359.72,51.19,272.83,1263.35,69.55,1193.8,164.58,0.96,592.36
8525.67,1641.45,126.13,995.37,433.59,86.35,0.0,24.28,314.59,272.09,42.5,501.61,303.05,26.79,50.16,121.6,1884.48,382.37,27.09,355.28,552.1,122.03,430.07,280.82,0.49,16.03,264.3,5.58,2.91,0.1,2.57,477.25,438.07,39.18,276.37,1369.88,78.33,1291.55,178.27,0.61,636.02
7813.48,1577.05,108.68,949.22,433.98,85.16,0.0,20.78,251.82,224.13,27.69,416.78,232.51,25.35,45.97,112.95,1764.59,287.94,27.18,260.75,505.28,114.34,390.94,278.38,0.37,14.9,263.1,4.3,2.02,0.09,2.2,399.12,361.85,37.27,259.15,1270.94,81.64,1189.3,165.66,0.66,611.05
8282.17,1759.72,121.55,1091.13,451.1,95.93,0.0,23.38,246.52,216.75,29.76,395.0,208.62,23.86,47.16,115.36,1812.87,319.6,25.55,294.05,551.88,125.63,426.25,284.42,0.19,15.93,268.31,3.75,1.94,0.14,1.66,392.84,351.97,40.87,268.17,1414.48,109.85,1304.62,174.1,1.01,634.43
8402.11,1698.45,97.77,1034.51,468.13,98.04,0.0,19.87,286.03,255.63,30.4,331.02,154.8,19.03,47.1,110.08,1947.3,294.35,25.05,269.3,544.52,120.01,424.5,292.59,0.2,15.14,277.25,5.69,2.69,0.26,2.75,372.86,332.58,40.27,280.92,1528.23,152.75,1375.48,178.28,0.82,621.18
