날짜,충북_합계,충북_종합소매,충북_ 백화점,충북_ 대형마트/유통전문점,충북_ 슈퍼마켓,충북_ 편의점,충북_ 면세점,충북_전자상거래/통신판매,충북_식료품,충북_ 일반식료품,충북_ 건강보조식품,충북_의류/잡화,충북_ 의복/직물,충북_ 복식잡화,충북_ 시계/귀금속/안경,충북_ 화장품,충북_연료,충북_가구/가전,충북_ 가구,충북_ 가전제품/정보통신기기,충북_의료/보건,충북_ 종합병원,충북_ 일반병의원/기타의료기관,충북_자동차,충북_ 국산자동차신품,충북_ 기타운송수단,충북_ 자동차 부품 및 정비,충북_여행/교통,충북_ 여행사/자동차임대,충북_ 항공사,충북_ 대중교통,충북_오락/문화,충북_ 스포츠/오락/여가,충북_ 서적/문구,충북_교육,충북_숙박/음식,충북_ 숙박,충북_ 음식점,충북_공과금/개인 및 전문 서비스,충북_금융/보험,충북_기타
2012/11,5546.75,987.32,163.91,551.84,230.82,40.45,0.3,9.16,133.68,116.7,16.98,342.32,243.07,26.0,25.66,47.59,1413.02,206.47,19.07,187.4,407.95,85.76,322.19,191.29,1.93,7.8,181.57,5.64,2.11,0.0,3.53,455.08,423.37,31.72,155.83,768.92,41.82,727.11,188.07,0.64,281.36
2012/12,5391.04,1059.02,179.37,604.97,236.33,38.16,0.19,9.01,133.4,117.58,15.82,330.47,224.91,29.1,25.88,50.58,1340.02,146.5,16.86,129.64,397.95,83.47,314.48,219.31,0.73,5.75,212.83,3.02,2.09,0.0,0.93,326.67,286.39,40.28,134.21,819.81,37.54,782.27,189.89,0.5,281.25
2013/01,5113.25,935.56,116.86,534.5,246.67,36.75,0.78,9.29,133.91,116.11,17.8,305.91,208.65,21.91,28.4,46.94,1304.17,147.0,17.19,129.81,455.55,91.6,363.95,168.83,0.61,6.66,161.56,3.41,2.51,0.0,0.9,259.99,224.1,35.9,148.8,758.07,38.63,719.44,200.62,0.47,281.68
2013/02,4708.02,947.58,109.73,556.61,245.99,34.76,0.49,7.92,156.19,136.06,20.13,248.45,161.72,17.22,25.43,44.09,1211.35,144.7,17.45,127.25,387.93,79.48,308.45,139.42,0.71,6.96,131.76,2.97,2.04,0.0,0.93,233.53,202.75,30.78,135.97,656.07,29.08,626.99,185.28,0.42,250.25
2013/03,5393.21,916.26,122.81,513.06,238.93,41.28,0.18,8.35,127.95,109.0,18.96,303.92,196.57,25.22,32.76,49.36,1355.68,194.3,25.05,169.24,438.2,91.89,346.31,178.25,0.73,11.57,165.94,4.07,2.16,0.0,1.91,411.78,342.41,69.36,151.55,788.58,35.7,752.87,211.11,0.62,302.61
2013/04,5362.13,967.7,130.79,544.35,249.57,42.61,0.37,8.59,128.09,109.55,18.54,302.6,196.48,24.99,32.5,48.64,1319.16,171.19,22.65,148.54,422.21,88.03,334.17,174.35,0.83,11.16,162.36,5.55,2.28,0.0,3.26,409.74,363.42,46.33,136.83,804.13,37.11,767.02,214.54,0.61,296.85
2013/05,5753.33,1039.23,132.05,582.75,276.55,47.53,0.35,8.8,147.13,125.83,21.29,369.63,249.61,29.84,36.05,54.13,1326.16,205.03,21.61,183.42,431.47,89.66,341.82,194.29,0.97,12.27,181.05,7.8,2.92,0.0,4.88,460.44,425.18,35.25,138.82,880.96,41.4,839.57,215.61,0.49,327.46
2013/06,5371.83,982.24,100.82,551.65,282.78,46.67,0.31,8.24,133.71,116.14,17.56,288.38,181.15,28.65,32.45,46.14,1262.9,202.94,21.8,181.13,413.98,87.28,326.7,194.94,1.13,12.06,181.74,5.93,2.28,0.0,3.65,410.18,377.02,33.16,137.93,804.89,36.57,768.32,208.01,0.67,316.9
2013/07,5645.5,1088.53,105.66,637.56,293.1,51.9,0.31,9.28,138.22,120.45,17.76,269.24,162.92,25.82,33.01,47.48,1300.01,242.92,23.46,219.45,437.02,92.49,344.53,195.36,1.0,10.29,184.07,5.46,2.14,0.0,3.33,379.47,341.75,37.73,145.85,887.65,43.36,844.3,217.51,0.54,328.42
2013/08,5604.09,1047.33,93.99,597.71,303.63,51.65,0.35,8.74,150.22,133.44,16.79,218.47,120.11,20.24,33.91,44.22,1389.25,206.51,20.53,185.98,431.36,89.91,341.45,200.31,1.08,10.66,188.57,9.12,2.63,0.0,6.49,339.49,303.89,35.61,150.11,923.06,61.58,861.48,212.79,0.53,316.78
