충북_합계,충북_종합소매,충북_ 백화점,충북_ 대형마트/유통전문점,충북_ 슈퍼마켓,충북_ 편의점,충북_ 면세점,충북_전자상거래/통신판매,충북_식료품,충북_ 일반식료품,충북_ 건강보조식품,충북_의류/잡화,충북_ 의복/직물,충북_ 복식잡화,충북_ 시계/귀금속/안경,충북_ 화장품,충북_연료,충북_가구/가전,충북_ 가구,충북_ 가전제품/정보통신기기,충북_의료/보건,충북_ 종합병원,충북_ 일반병의원/기타의료기관,충북_자동차,충북_ 국산자동차신품,충북_ 기타운송수단,충북_ 자동차 부품 및 정비,충북_여행/교통,충북_ 여행사/자동차임대,충북_ 항공사,충북_ 대중교통,충북_오락/문화,충북_ 스포츠/오락/여가,충북_ 서적/문구,충북_교육,충북_숙박/음식,충북_ 숙박,충북_ 음식점,충북_공과금/개인 및 전문 서비스,충북_금융/보험,충북_기타,충남_합계,충남_종합소매,충남_ 백화점,충남_ 대형마트/유통전문점,충남_ 슈퍼마켓,충남_ 편의점,충남_ 면세점,충남_전자상거래/통신판매,충남_식료품,충남_ 일반식료품,충남_ 건강보조식품,충남_의류/잡화,충남_ 의복/직물,충남_ 복식잡화,충남_ 시계/귀금속/안경,충남_ 화장품,충남_연료,충남_가구/가전,충남_ 가구,충남_ 가전제품/정보통신기기,충남_의료/보건,충남_ 종합병원,충남_ 일반병의원/기타의료기관,충남_자동차,충남_ 국산자동차신품,충남_ 기타운송수단,충남_ 자동차 부품 및 정비,충남_여행/교통,충남_ 여행사/자동차임대,충남_ 항공사,충남_ 대중교통,충남_오락/문화,충남_ 스포츠/오락/여가,충남_ 서적/문구,충남_교육,충남_숙박/음식,충남_ 숙박,충남_ 음식점,충남_공과금/개인 및 전문 서비스,충남_금융/보험,충남_기타
5546.75,987.32,163.91,551.84,230.82,40.45,0.3,9.16,133.68,116.7,16.98,342.32,243.07,26.0,25.66,47.59,1413.02,206.47,19.07,187.4,407.95,85.76,322.19,191.29,1.93,7.8,181.57,5.64,2.11,0.0,3.53,455.08,423.37,31.72,155.83,768.92,41.82,727.11,188.07,0.64,281.36,7738.53,1423.49,146.82,848.12,355.27,73.28,0.0,22.86,287.79,251.73,36.06,415.89,275.92,24.83,35.82,79.31,1974.29,272.55,24.36,248.2,515.49,111.3,404.2,274.03,0.45,11.1,262.48,3.65,2.48,0.11,1.07,438.53,401.15,37.38,312.49,1172.45,69.31,1103.13,151.24,0.88,472.9
5391.04,1059.02,179.37,604.97,236.33,38.16,0.19,9.01,133.4,117.58,15.82,330.47,224.91,29.1,25.88,50.58,1340.02,146.5,16.86,129.64,397.95,83.47,314.48,219.31,0.73,5.75,212.83,3.02,2.09,0.0,0.93,326.67,286.39,40.28,134.21,819.81,37.54,782.27,189.89,0.5,281.25,7779.27,1553.25,156.03,962.67,361.9,72.64,0.0,25.03,238.64,213.7,24.94,438.76,266.59,27.18,36.04,108.95,1886.75,230.36,21.23,209.13,499.49,109.53,389.96,317.83,0.25,10.83,306.75,2.88,2.23,0.1,0.55,371.34,328.76,42.59,298.48,1248.0,77.32,1170.68,150.27,0.75,517.43
5113.25,935.56,116.86,534.5,246.67,36.75,0.78,9.29,133.91,116.11,17.8,305.91,208.65,21.91,28.4,46.94,1304.17,147.0,17.19,129.81,455.55,91.6,363.95,168.83,0.61,6.66,161.56,3.41,2.51,0.0,0.9,259.99,224.1,35.9,148.8,758.07,38.63,719.44,200.62,0.47,281.68,7436.22,1462.52,132.81,896.48,366.66,66.56,0.0,21.4,259.45,225.17,34.29,393.64,221.86,18.84,39.97,112.97,1822.73,189.55,19.74,169.81,572.34,123.25,449.08,247.25,0.15,9.43,237.67,2.25,1.58,0.13,0.53,310.99,271.54,39.45,283.5,1176.59,77.71,1098.88,151.7,0.67,541.65
4708.02,947.58,109.73,556.61,245.99,34.76,0.49,7.92,156.19,136.06,20.13,248.45,161.72,17.22,25.43,44.09,1211.35,144.7,17.45,127.25,387.93,79.48,308.45,139.42,0.71,6.96,131.76,2.97,2.04,0.0,0.93,233.53,202.75,30.78,135.97,656.07,29.08,626.99,185.28,0.42,250.25,6864.34,1433.29,107.76,907.95,356.07,61.52,0.0,18.93,286.18,249.57,36.61,352.97,199.77,15.58,35.94,101.68,1692.51,198.79,22.13,176.66,491.75,106.5,385.25,211.23,0.15,8.47,202.61,2.3,1.61,0.1,0.59,270.85,236.0,34.85,265.63,999.58,59.42,940.17,137.93,1.02,501.38
5393.21,916.26,122.81,513.06,238.93,41.28,0.18,8.35,127.95,109.0,18.96,303.92,196.57,25.22,32.76,49.36,1355.68,194.3,25.05,169.24,438.2,91.89,346.31,178.25,0.73,11.57,165.94,4.07,2.16,0.0,1.91,411.78,342.41,69.36,151.55,788.58,35.7,752.87,211.11,0.62,302.61,7974.05,1446.78,118.6,878.72,373.89,75.56,0.0,22.36,265.14,228.91,36.23,419.99,233.55,22.94,46.88,116.63,1926.02,368.99,29.3,339.69,553.05,116.3,436.75,259.34,0.24,14.0,245.09,4.31,3.15,0.09,1.07,420.75,345.15,75.6,281.34,1251.69,69.32,1182.37,166.38,1.32,586.6
5362.13,967.7,130.79,544.35,249.57,42.61,0.37,8.59,128.09,109.55,18.54,302.6,196.48,24.99,32.5,48.64,1319.16,171.19,22.65,148.54,422.21,88.03,334.17,174.35,0.83,11.16,162.36,5.55,2.28,0.0,3.26,409.74,363.42,46.33,136.83,804.13,37.11,767.02,214.54,0.61,296.85,7920.25,1514.12,131.72,921.85,383.17,77.38,0.0,22.81,274.19,237.13,37.06,419.06,237.47,23.06,45.27,113.26,1889.14,302.58,26.39,276.19,541.4,116.63,424.77,247.49,0.21,14.55,232.73,4.47,2.8,0.14,1.53,410.91,359.72,51.19,272.83,1263.35,69.55,1193.8,164.58,0.96,592.36
5753.33,1039.23,132.05,582.75,276.55,47.53,0.35,8.8,147.13,125.83,21.29,369.63,249.61,29.84,36.05,54.13,1326.16,205.03,21.61,183.42,431.47,89.66,341.82,194.29,0.97,12.27,181.05,7.8,2.92,0.0,4.88,460.44,425.18,35.25,138.82,880.96,41.4,839.57,215.61,0.49,327.46,8525.67,1641.45,126.13,995.37,433.59,86.35,0.0,24.28,314.59,272.09,42.5,501.61,303.05,26.79,50.16,121.6,1884.48,382.37,27.09,355.28,552.1,122.03,430.07,280.82,0.49,16.03,264.3,5.58,2.91,0.1,2.57,477.25,438.07,39.18,276.37,1369.88,78.33,1291.55,178.27,0.61,636.02
5371.83,982.24,100.82,551.65,282.78,46.67,0.31,8.24,133.71,116.14,17.56,288.38,181.15,28.65,32.45,46.14,1262.9,202.94,21.8,181.13,413.98,87.28,326.7,194.94,1.13,12.06,181.74,5.93,2.28,0.0,3.65,410.18,377.02,33.16,137.93,804.89,36.57,768.32,208.01,0.67,316.9,7813.48,1577.05,108.68,949.22,433.98,85.16,0.0,20.78,251.82,224.13,27.69,416.78,232.51,25.35,45.97,112.95,1764.59,287.94,27.18,260.75,505.28,114.34,390.94,278.38,0.37,14.9,263.1,4.3,2.02,0.09,2.2,399.12,361.85,37.27,259.15,1270.94,81.64,1189.3,165.66,0.66,611.05
5645.5,1088.53,105.66,637.56,293.1,51.9,0.31,9.28,138.22,120.45,17.76,269.24,162.92,25.82,33.01,47.48,1300.01,242.92,23.46,219.45,437.02,92.49,344.53,195.36,1.0,10.29,184.07,5.46,2.14,0.0,3.33,379.47,341.75,37.73,145.85,887.65,43.36,844.3,217.51,0.54,328.42,8282.17,1759.72,121.55,1091.13,451.1,95.93,0.0,23.38,246.52,216.75,29.76,395.0,208.62,23.86,47.16,115.36,1812.87,319.6,25.55,294.05,551.88,125.63,426.25,284.42,0.19,15.93,268.31,3.75,1.94,0.14,1.66,392.84,351.97,40.87,268.17,1414.48,109.85,1304.62,174.1,1.01,634.43
5604.09,1047.33,93.99,597.71,303.63,51.65,0.35,8.74,150.22,133.44,16.79,218.47,120.11,20.24,33.91,44.22,1389.25,206.51,20.53,185.98,431.36,89.91,341.45,200.31,1.08,10.66,188.57,9.12,2.63,0.0,6.49,339.49,303.89,35.61,150.11,923.06,61.58,861.48,212.79,0.53,316.78,8402.11,1698.45,97.77,1034.51,468.13,98.04,0.0,19.87,286.03,255.63,30.4,331.02,154.8,19.03,47.1,110.08,1947.3,294.35,25.05,269.3,544.52,120.01,424.5,292.59,0.2,15.14,277.25,5.69,2.69,0.26,2.75,372.86,332.58,40.27,280.92,1528.23,152.75,1375.48,178.28,0.82,621.18
